Percentage served,Time in ms
0,14.385
1,14.649
2,14.876
3,15.773
4,16.781
5,17.942
6,19.125
7,20.282
8,21.657
9,23.229
10,24.752
11,26.582
12,28.343
13,30.082
14,32.170
15,34.673
16,37.179
17,40.952
18,44.757
19,49.318
20,53.780
21,59.003
22,66.709
23,75.941
24,84.144
25,97.866
26,110.177
27,124.554
28,136.508
29,154.364
30,171.699
31,207.646
32,238.573
33,277.184
34,296.807
35,315.800
36,349.749
37,432.922
38,501.629
39,575.829
40,616.215
41,704.382
42,783.067
43,840.330
44,894.499
45,1011.286
46,1013.150
47,1014.995
48,1016.820
49,1019.627
50,1022.701
51,1026.299
52,1030.937
53,1039.125
54,1049.417
55,1066.692
56,1093.948
57,1135.866
58,1176.087
59,1233.804
60,1286.440
61,1345.326
62,1429.055
63,1528.216
64,1625.106
65,1766.567
66,2046.040
67,3015.730
68,3018.126
69,3019.970
70,3022.944
71,3027.303
72,3034.150
73,3049.737
74,3120.454
75,3304.999
76,3906.172
77,7023.151
78,7027.366
79,7034.316
80,7048.774
81,7096.073
82,7269.645
83,7611.776
84,8203.842
85,15035.977
86,15045.968
87,15080.327
88,15213.476
89,16677.982
90,31091.247
91,31357.139
92,32018.819
93,32787.561
94,63139.855
95,63634.870
96,127205.219
97,127232.888
98,127257.999
99,127283.537
