Percentage served,Time in ms
0,14.437
1,14.596
2,14.633
3,14.683
4,14.725
5,14.794
6,14.872
7,15.222
8,15.689
9,16.191
10,16.514
11,16.869
12,17.270
13,17.633
14,18.060
15,18.600
16,19.014
17,19.596
18,20.247
19,21.303
20,21.814
21,23.562
22,25.232
23,28.055
24,33.503
25,41.027
26,49.294
27,59.276
28,66.727
29,71.163
30,74.504
31,77.298
32,79.694
33,82.543
34,85.499
35,89.882
36,98.721
37,110.371
38,120.477
39,134.609
40,147.962
41,160.445
42,165.495
43,169.868
44,171.876
45,173.974
46,175.776
47,177.631
48,179.173
49,180.845
50,182.366
51,184.398
52,186.594
53,188.350
54,190.121
55,191.882
56,193.432
57,196.233
58,198.871
59,201.643
60,209.799
61,216.667
62,219.581
63,223.645
64,227.017
65,228.752
66,230.670
67,232.594
68,234.325
69,236.076
70,239.381
71,242.651
72,244.439
73,245.825
74,248.558
75,253.676
76,271.027
77,1011.253
78,1012.465
79,1013.429
80,1014.205
81,1014.902
82,1016.946
83,1020.568
84,1037.228
85,3016.047
86,3017.573
87,3018.433
88,3020.088
89,3023.018
90,3037.904
91,7024.205
92,7027.525
93,7031.481
94,7052.713
95,15037.502
96,15046.070
97,15073.074
98,15192.805
99,31085.731
