Percentage served,Time in ms
0,14.259
1,14.518
2,14.584
3,14.639
4,14.721
5,14.858
6,15.231
7,15.622
8,16.175
9,16.622
10,17.053
11,17.516
12,18.123
13,18.875
14,19.325
15,20.007
16,20.819
17,21.783
18,22.854
19,24.124
20,25.556
21,27.520
22,30.275
23,34.677
24,39.731
25,48.355
26,59.588
27,71.388
28,89.962
29,106.830
30,133.931
31,167.727
32,189.487
33,219.785
34,257.428
35,285.394
36,305.399
37,332.826
38,359.950
39,379.015
40,397.832
41,414.400
42,427.991
43,437.280
44,455.187
45,493.339
46,573.565
47,622.591
48,708.329
49,741.654
50,767.788
51,826.534
52,913.935
53,1011.525
54,1012.212
55,1013.192
56,1014.042
57,1014.708
58,1015.599
59,1016.962
60,1018.759
61,1021.576
62,1026.133
63,1042.598
64,1114.721
65,1199.531
66,1309.062
67,1423.045
68,1559.072
69,1730.233
70,1864.972
71,2160.512
72,2333.980
73,2446.280
74,2602.675
75,3015.177
76,3016.588
77,3017.793
78,3018.804
79,3020.227
80,3022.723
81,3027.117
82,3067.632
83,3340.512
84,3673.098
85,7023.826
86,7026.489
87,7029.777
88,7034.414
89,7050.739
90,7115.638
91,7281.229
92,15032.044
93,15041.431
94,15047.798
95,15060.681
96,31055.026
97,31079.479
98,31375.966
99,63141.694
