Percentage served,Time in ms
0,14.267
1,14.514
2,14.574
3,14.633
4,14.696
5,14.767
6,14.971
7,15.396
8,15.798
9,16.204
10,16.517
11,16.847
12,17.163
13,17.531
14,18.029
15,18.476
16,18.910
17,19.320
18,19.770
19,20.275
20,20.880
21,21.535
22,22.237
23,23.007
24,23.890
25,24.923
26,26.090
27,27.536
28,29.024
29,30.918
30,33.483
31,36.582
32,40.604
33,46.829
34,56.040
35,64.208
36,78.107
37,101.851
38,134.965
39,192.553
40,240.782
41,272.092
42,324.602
43,356.245
44,390.002
45,415.910
46,447.090
47,480.644
48,499.534
49,516.516
50,581.721
51,693.868
52,848.775
53,1010.945
54,1011.954
55,1012.517
56,1013.283
57,1013.980
58,1014.619
59,1015.248
60,1016.022
61,1017.053
62,1018.164
63,1019.744
64,1022.064
65,1025.507
66,1031.762
67,1051.410
68,1134.802
69,1295.336
70,1494.991
71,1679.910
72,1851.335
73,2078.140
74,3015.923
75,3017.077
76,3017.979
77,3018.931
78,3019.941
79,3021.824
80,3024.598
81,3030.201
82,3063.314
83,7022.007
84,7024.875
85,7027.135
86,7029.806
87,7033.201
88,7041.869
89,7177.886
90,15035.939
91,15043.328
92,15048.183
93,15061.718
94,15430.754
95,31069.179
96,31082.937
97,31116.306
98,63142.934
99,127188.772
