Percentage served,Time in ms
0,14.308
1,14.543
2,14.610
3,14.685
4,14.760
5,14.910
6,15.327
7,15.713
8,16.188
9,16.547
10,16.975
11,17.462
12,18.115
13,18.723
14,19.253
15,19.963
16,20.745
17,21.658
18,22.515
19,23.580
20,24.757
21,26.543
22,28.720
23,31.930
24,35.957
25,42.964
26,55.459
27,80.838
28,101.438
29,126.804
30,149.271
31,180.059
32,229.489
33,315.213
34,404.293
35,476.609
36,551.321
37,601.988
38,649.166
39,720.430
40,815.207
41,954.117
42,1011.668
43,1012.441
44,1013.226
45,1013.887
46,1014.478
47,1015.055
48,1015.888
49,1016.808
50,1017.923
51,1019.633
52,1022.037
53,1026.100
54,1033.495
55,1056.276
56,1097.418
57,1145.465
58,1227.729
59,1450.149
60,1708.357
61,2103.249
62,3015.699
63,3016.836
64,3017.862
65,3018.658
66,3019.439
67,3020.556
68,3022.177
69,3024.482
70,3028.969
71,3049.801
72,3326.046
73,4926.547
74,7023.634
75,7025.706
76,7027.907
77,7030.301
78,7033.504
79,7039.880
80,7071.160
81,7231.094
82,7669.753
83,15036.752
84,15040.884
85,15045.332
86,15050.633
87,15098.655
88,15532.532
89,16057.764
90,31063.896
91,31077.688
92,31092.145
93,31479.781
94,63116.610
95,63147.874
96,63307.425
97,127212.166
98,127248.957
99,127280.656
