Percentage served,Time in ms
0,14.457
1,14.545
2,14.619
3,14.668
4,14.699
5,14.747
6,14.835
7,15.008
8,15.727
9,16.207
10,16.802
11,17.252
12,18.028
13,18.858
14,19.476
15,20.271
16,21.122
17,21.662
18,22.784
19,23.616
20,24.818
21,26.494
22,28.045
23,29.609
24,31.832
25,34.559
26,37.047
27,39.172
28,42.380
29,45.380
30,49.864
31,57.050
32,63.976
33,70.449
34,82.715
35,94.950
36,103.923
37,114.976
38,120.057
39,124.903
40,129.348
41,132.307
42,135.031
43,139.616
44,143.610
45,146.160
46,148.779
47,151.125
48,154.384
49,157.151
50,159.779
51,162.485
52,165.588
53,174.042
54,187.228
55,201.061
56,211.204
57,215.587
58,217.778
59,219.391
60,220.808
61,222.624
62,223.698
63,225.227
64,226.891
65,229.769
66,230.834
67,232.519
68,234.985
69,236.645
70,239.176
71,241.899
72,245.861
73,249.021
74,250.983
75,253.764
76,259.087
77,275.455
78,298.204
79,1012.245
80,1013.786
81,1015.270
82,1026.408
83,1058.843
84,3016.449
85,3018.318
86,3019.176
87,3021.414
88,3024.235
89,3032.044
90,3078.871
91,7025.970
92,7030.708
93,7043.116
94,7083.649
95,7119.037
96,7231.121
97,15049.846
98,15067.902
99,15243.236
