Percentage served,Time in ms
0,14.367
1,14.514
2,14.576
3,14.610
4,14.649
5,14.675
6,14.704
7,14.789
8,14.972
9,15.389
10,15.888
11,16.179
12,16.514
13,16.747
14,17.017
15,17.250
16,17.485
17,17.714
18,18.059
19,18.583
20,19.120
21,19.818
22,20.317
23,20.992
24,21.534
25,22.554
26,23.220
27,24.296
28,24.834
29,25.744
30,27.057
31,28.155
32,30.424
33,32.079
34,33.282
35,35.153
36,37.120
37,38.779
38,41.620
39,46.308
40,56.236
41,64.763
42,81.158
43,93.312
44,106.028
45,116.496
46,124.442
47,131.091
48,137.453
49,146.465
50,158.646
51,179.947
52,193.407
53,205.584
54,212.808
55,219.959
56,222.223
57,224.500
58,227.126
59,228.389
60,230.481
61,232.835
62,235.063
63,239.156
64,245.536
65,247.388
66,249.123
67,250.161
68,251.262
69,252.429
70,253.457
71,255.113
72,256.892
73,260.151
74,268.126
75,292.840
76,373.534
77,1011.604
78,1012.874
79,1014.024
80,1014.677
81,1015.642
82,1017.224
83,1019.169
84,1023.818
85,1031.879
86,3015.904
87,3017.587
88,3018.875
89,3020.812
90,3026.438
91,3097.216
92,7020.625
93,7026.681
94,7031.176
95,7238.550
96,15050.770
97,15071.111
98,15119.086
99,31090.118
