Percentage served,Time in ms
0,14.207
1,14.558
2,14.630
3,14.721
4,14.905
5,15.345
6,15.902
7,16.469
8,16.952
9,17.502
10,18.159
11,18.816
12,19.382
13,20.092
14,20.834
15,21.819
16,22.895
17,24.108
18,25.710
19,27.637
20,29.578
21,32.172
22,35.380
23,39.596
24,45.567
25,54.100
26,66.747
27,84.588
28,113.127
29,150.921
30,190.571
31,249.981
32,306.176
33,371.565
34,444.737
35,503.720
36,561.144
37,606.954
38,644.588
39,693.146
40,735.041
41,779.750
42,851.902
43,929.013
44,988.505
45,1011.986
46,1012.937
47,1013.808
48,1014.633
49,1015.337
50,1016.348
51,1017.660
52,1019.538
53,1021.791
54,1025.106
55,1030.075
56,1040.077
57,1062.816
58,1115.599
59,1187.656
60,1290.579
61,1434.128
62,1679.364
63,3015.068
64,3016.456
65,3017.686
66,3018.647
67,3019.787
68,3021.705
69,3024.273
70,3029.078
71,3037.886
72,3080.433
73,3421.654
74,7019.120
75,7023.837
76,7026.019
77,7028.653
78,7031.349
79,7036.816
80,7064.445
81,7386.077
82,8473.124
83,15038.997
84,15042.868
85,15048.046
86,15059.820
87,15471.839
88,31055.619
89,31071.847
90,31087.441
91,31221.119
92,41229.029
93,63149.716
94,63324.967
95,127165.099
96,127213.496
97,127233.957
98,127264.491
99,127286.503
