Percentage served,Time in ms
0,251.726
1,531.710
2,609.425
3,715.448
4,800.958
5,1236.298
6,1794.983
7,1831.389
8,1859.002
9,1876.040
10,1891.208
11,1910.098
12,1925.705
13,1937.873
14,1951.349
15,1964.101
16,1975.068
17,1982.706
18,1989.685
19,1997.799
20,2005.710
21,2012.373
22,2019.293
23,2025.459
24,2029.962
25,2035.018
26,2039.754
27,2043.445
28,2046.860
29,2051.185
30,2056.346
31,2060.248
32,2064.005
33,2068.643
34,2072.067
35,2077.078
36,2082.082
37,2086.137
38,2091.061
39,2095.872
40,2100.352
41,2105.549
42,2111.265
43,2116.760
44,2122.437
45,2127.129
46,2131.732
47,2137.477
48,2142.372
49,2147.012
50,2152.441
51,2157.482
52,2162.020
53,2166.815
54,2172.648
55,2177.526
56,2181.541
57,2186.782
58,2191.855
59,2195.781
60,2200.192
61,2205.731
62,2210.105
63,2214.219
64,2218.197
65,2222.091
66,2225.940
67,2230.459
68,2235.248
69,2239.820
70,2244.345
71,2249.277
72,2254.118
73,2259.216
74,2264.830
75,2269.828
76,2275.358
77,2281.213
78,2287.905
79,2294.113
80,2305.566
81,2324.318
82,2429.382
83,2561.262
84,2629.612
85,2817.940
86,2960.715
87,3065.252
88,3192.581
89,3337.370
90,3554.119
91,3765.005
92,3960.892
93,4126.958
94,4265.028
95,4392.546
96,4582.392
97,4759.868
98,5104.366
99,5523.383
