Percentage served,Time in ms
0,380.769
1,667.338
2,779.193
3,814.008
4,1064.066
5,1801.287
6,1872.724
7,1895.245
8,1913.313
9,1925.427
10,1937.122
11,1947.782
12,1956.203
13,1964.606
14,1974.251
15,1982.251
16,1990.811
17,1997.512
18,2006.608
19,2015.645
20,2025.767
21,2034.536
22,2042.892
23,2051.203
24,2059.781
25,2070.312
26,2080.404
27,2090.190
28,2100.134
29,2110.232
30,2119.473
31,2129.332
32,2137.487
33,2144.009
34,2149.170
35,2155.142
36,2159.879
37,2164.577
38,2169.915
39,2174.489
40,2179.088
41,2183.274
42,2186.982
43,2190.492
44,2194.189
45,2198.333
46,2201.568
47,2205.550
48,2209.118
49,2212.688
50,2215.956
51,2218.800
52,2221.654
53,2224.817
54,2227.473
55,2230.741
56,2233.916
57,2236.080
58,2238.741
59,2241.382
60,2243.473
61,2245.846
62,2248.284
63,2250.409
64,2252.658
65,2255.058
66,2257.692
67,2260.416
68,2263.449
69,2266.399
70,2268.916
71,2271.575
72,2274.869
73,2278.594
74,2281.935
75,2284.861
76,2288.077
77,2291.355
78,2295.432
79,2299.370
80,2304.701
81,2309.758
82,2318.115
83,2330.683
84,2361.144
85,2563.075
86,2648.568
87,2868.366
88,3001.993
89,3188.003
90,3315.728
91,3485.899
92,3684.428
93,3919.064
94,4056.921
95,4160.268
96,4286.603
97,4609.683
98,4912.870
99,5379.463
