Percentage served,Time in ms
0,302.840
1,734.223
2,941.712
3,1464.798
4,1789.937
5,1888.432
6,1923.431
7,1946.159
8,1957.035
9,1971.539
10,1982.313
11,1998.052
12,2007.804
13,2018.993
14,2027.980
15,2035.425
16,2042.010
17,2047.469
18,2053.446
19,2057.296
20,2060.713
21,2064.002
22,2068.019
23,2071.574
24,2075.382
25,2079.332
26,2083.178
27,2087.332
28,2091.248
29,2094.570
30,2098.404
31,2101.651
32,2104.779
33,2108.063
34,2111.766
35,2114.902
36,2117.186
37,2120.236
38,2122.568
39,2125.335
40,2127.566
41,2129.465
42,2131.662
43,2133.789
44,2135.916
45,2137.655
46,2139.778
47,2141.606
48,2143.558
49,2145.528
50,2147.856
51,2149.893
52,2151.928
53,2153.740
54,2156.055
55,2158.236
56,2160.745
57,2163.341
58,2165.663
59,2167.935
60,2170.625
61,2173.436
62,2176.235
63,2178.311
64,2180.649
65,2183.377
66,2186.463
67,2189.152
68,2192.142
69,2196.220
70,2199.529
71,2202.623
72,2207.967
73,2212.237
74,2218.192
75,2226.271
76,2236.983
77,2249.182
78,2265.062
79,2301.336
80,2395.668
81,2464.036
82,2521.226
83,2615.455
84,2784.289
85,2878.475
86,2994.040
87,3101.563
88,3154.472
89,3219.328
90,3495.812
91,3642.966
92,3734.598
93,3834.860
94,3918.472
95,4114.775
96,4331.355
97,4555.431
98,4847.436
99,5396.370
