Percentage served,Time in ms
0,329.337
1,750.697
2,1101.371
3,1633.085
4,1796.503
5,1833.378
6,1847.286
7,1860.115
8,1870.607
9,1882.321
10,1893.564
11,1905.177
12,1914.826
13,1924.146
14,1936.131
15,1947.512
16,1957.392
17,1966.874
18,1981.119
19,1995.208
20,2016.083
21,2032.993
22,2049.033
23,2066.026
24,2076.710
25,2083.973
26,2090.549
27,2098.127
28,2104.328
29,2108.589
30,2114.733
31,2121.276
32,2126.877
33,2132.688
34,2139.428
35,2146.148
36,2154.616
37,2164.570
38,2174.508
39,2183.819
40,2191.692
41,2197.467
42,2202.343
43,2207.415
44,2210.788
45,2214.459
46,2218.036
47,2220.890
48,2223.586
49,2226.530
50,2228.731
51,2231.682
52,2233.776
53,2235.942
54,2238.110
55,2240.083
56,2242.001
57,2243.707
58,2245.538
59,2247.410
60,2249.554
61,2251.588
62,2253.990
63,2256.209
64,2258.473
65,2260.669
66,2262.692
67,2265.009
68,2267.347
69,2269.631
70,2271.814
71,2274.214
72,2276.910
73,2279.681
74,2282.088
75,2284.934
76,2288.147
77,2291.658
78,2294.911
79,2299.414
80,2303.695
81,2308.881
82,2313.233
83,2319.527
84,2335.283
85,2512.417
86,2605.552
87,2674.974
88,2929.084
89,3052.900
90,3238.195
91,3351.442
92,3506.933
93,3622.053
94,3816.622
95,4065.586
96,4303.165
97,4617.931
98,4816.464
99,5372.470
