Percentage served,Time in ms
0,52.748
1,89.666
2,116.017
3,137.352
4,173.268
5,317.957
6,380.684
7,427.314
8,434.927
9,438.907
10,441.993
11,444.217
12,445.820
13,448.203
14,449.201
15,450.574
16,452.160
17,453.266
18,454.146
19,455.536
20,456.442
21,457.210
22,458.327
23,458.976
24,459.720
25,460.574
26,461.369
27,462.104
28,462.924
29,463.633
30,464.161
31,464.676
32,465.358
33,466.256
34,466.650
35,467.132
36,467.846
37,468.215
38,468.875
39,469.282
40,469.881
41,470.268
42,470.728
43,471.235
44,471.615
45,471.836
46,472.365
47,472.807
48,473.192
49,473.655
50,473.866
51,474.356
52,474.734
53,475.205
54,475.637
55,476.032
56,476.414
57,476.923
58,477.413
59,477.786
60,478.363
61,478.781
62,479.227
63,479.719
64,480.115
65,480.714
66,481.117
67,481.672
68,482.193
69,482.557
70,483.190
71,483.740
72,484.134
73,484.829
74,485.519
75,486.087
76,486.655
77,487.485
78,488.464
79,489.363
80,490.378
81,490.910
82,491.843
83,492.896
84,493.917
85,494.857
86,495.922
87,497.178
88,498.385
89,499.991
90,502.156
91,504.168
92,506.973
93,511.107
94,518.879
95,537.876
96,585.155
97,809.268
98,903.539
99,924.315
