Percentage served,Time in ms
0,175.620
1,310.897
2,365.260
3,418.986
4,433.751
5,439.360
6,444.762
7,449.165
8,450.293
9,452.665
10,453.869
11,455.087
12,456.470
13,457.312
14,458.379
15,459.197
16,460.117
17,460.777
18,461.339
19,461.995
20,462.700
21,463.191
22,463.753
23,464.362
24,464.785
25,465.263
26,465.661
27,466.066
28,466.349
29,466.800
30,467.124
31,467.758
32,468.069
33,468.344
34,468.667
35,469.024
36,469.334
37,469.629
38,470.015
39,470.398
40,470.534
41,470.859
42,471.350
43,471.679
44,471.913
45,472.308
46,472.567
47,472.786
48,472.944
49,473.220
50,473.518
51,473.742
52,474.027
53,474.272
54,474.541
55,474.833
56,475.248
57,475.515
58,475.735
59,476.111
60,476.526
61,476.932
62,477.217
63,477.564
64,477.894
65,478.312
66,478.768
67,479.049
68,479.439
69,479.808
70,480.310
71,480.636
72,481.097
73,481.442
74,481.860
75,482.414
76,482.701
77,483.194
78,483.799
79,484.488
80,485.170
81,485.557
82,485.997
83,486.705
84,487.615
85,488.401
86,489.626
87,490.904
88,491.964
89,493.152
90,494.575
91,495.587
92,496.931
93,498.918
94,501.153
95,505.954
96,514.370
97,523.346
98,563.431
99,680.290
