Percentage served,Time in ms
0,452.791
1,1954.915
2,2075.079
3,2093.820
4,2106.018
5,2114.677
6,2120.355
7,2125.282
8,2129.313
9,2133.217
10,2136.414
11,2139.184
12,2141.894
13,2144.715
14,2147.205
15,2150.107
16,2153.223
17,2156.110
18,2159.483
19,2163.127
20,2166.867
21,2171.012
22,2176.750
23,2187.137
24,2392.984
25,2466.472
26,2484.959
27,2499.028
28,2511.715
29,2525.693
30,2551.510
31,2807.611
32,2842.948
33,2863.776
34,2893.476
35,3093.263
36,3128.946
37,3143.425
38,3156.844
39,3174.394
40,3205.625
41,3250.241
42,3390.554
43,3432.716
44,3478.562
45,3530.358
46,3616.761
47,3782.891
48,3859.044
49,3893.394
50,3921.200
51,3947.367
52,3983.851
53,4120.410
54,4228.401
55,4304.526
56,4415.027
57,4509.855
58,4590.593
59,4631.498
60,4664.392
61,4750.087
62,4870.939
63,4943.301
64,5006.107
65,5087.613
66,5189.304
67,5251.589
68,5353.675
69,5451.657
70,5569.776
71,5656.409
72,5729.637
73,5837.401
74,5934.731
75,6045.536
76,6162.608
77,6284.597
78,6408.152
79,6527.809
80,6686.105
81,6848.969
82,7037.574
83,7237.653
84,7413.033
85,7572.264
86,7715.551
87,7928.239
88,8119.211
89,8393.246
90,8658.783
91,8975.341
92,9288.292
93,9647.813
94,10020.279
95,10426.658
96,10999.575
97,11664.446
98,12683.393
99,14225.987
