Percentage served,Time in ms
0,959.814
1,1493.144
2,1688.500
3,2060.410
4,2094.397
5,2109.358
6,2118.137
7,2124.859
8,2130.295
9,2134.576
10,2138.676
11,2142.190
12,2145.457
13,2148.752
14,2151.933
15,2155.074
16,2158.230
17,2161.220
18,2164.282
19,2167.813
20,2170.924
21,2174.348
22,2178.517
23,2183.251
24,2189.550
25,2201.245
26,2382.382
27,2472.903
28,2492.353
29,2507.797
30,2521.024
31,2536.612
32,2607.513
33,2827.703
34,2858.934
35,2882.019
36,2908.735
37,3117.935
38,3142.036
39,3157.906
40,3172.932
41,3197.478
42,3240.021
43,3348.738
44,3430.763
45,3477.345
46,3515.441
47,3584.887
48,3735.868
49,3843.227
50,3891.534
51,3919.713
52,3952.796
53,3985.836
54,4109.959
55,4227.246
56,4305.065
57,4419.054
58,4526.174
59,4603.196
60,4653.182
61,4703.252
62,4814.099
63,4932.148
64,5008.565
65,5091.055
66,5178.400
67,5245.416
68,5339.754
69,5434.085
70,5539.713
71,5632.579
72,5723.379
73,5841.742
74,5949.559
75,6069.316
76,6174.655
77,6294.810
78,6423.381
79,6542.381
80,6687.899
81,6869.857
82,7043.507
83,7207.804
84,7400.600
85,7555.261
86,7710.693
87,7924.210
88,8125.131
89,8352.221
90,8581.917
91,8826.526
92,9162.946
93,9487.708
94,9828.599
95,10270.933
96,10879.116
97,11636.156
98,12519.602
99,14472.311
