Percentage served,Time in ms
0,61.727
1,169.709
2,189.052
3,253.847
4,314.139
5,337.874
6,368.658
7,418.975
8,434.898
9,439.925
10,443.801
11,446.471
12,448.981
13,450.336
14,451.618
15,453.232
16,453.986
17,455.006
18,456.127
19,456.960
20,457.672
21,458.337
22,459.176
23,459.895
24,460.967
25,461.471
26,462.066
27,462.595
28,463.217
29,463.744
30,464.263
31,464.867
32,465.538
33,466.290
34,466.776
35,467.286
36,467.886
37,468.491
38,468.846
39,469.175
40,469.625
41,469.978
42,470.374
43,470.706
44,471.130
45,471.554
46,472.008
47,472.509
48,473.019
49,473.372
50,473.741
51,474.027
52,474.286
53,474.863
54,475.221
55,475.697
56,476.266
57,476.692
58,477.201
59,477.589
60,478.181
61,478.663
62,479.061
63,479.522
64,480.007
65,480.389
66,480.772
67,481.212
68,481.736
69,482.322
70,482.899
71,483.204
72,483.658
73,484.017
74,484.353
75,484.830
76,485.405
77,485.872
78,486.726
79,487.330
80,487.983
81,488.575
82,489.156
83,489.875
84,491.050
85,492.442
86,493.127
87,494.666
88,496.028
89,497.144
90,498.001
91,500.883
92,504.524
93,508.494
94,514.295
95,523.531
96,566.821
97,656.260
98,788.562
99,858.117
