Percentage served,Time in ms
0,985.006
1,1687.909
2,1731.668
3,1757.225
4,1785.834
5,1810.903
6,1861.125
7,1883.335
8,1906.481
9,1928.950
10,1945.579
11,1957.629
12,1968.650
13,1977.013
14,1986.161
15,1995.438
16,2007.142
17,2017.281
18,2024.720
19,2031.608
20,2037.802
21,2043.145
22,2048.156
23,2053.518
24,2058.790
25,2063.453
26,2068.204
27,2074.699
28,2079.824
29,2085.524
30,2091.207
31,2096.531
32,2101.859
33,2106.776
34,2110.300
35,2113.929
36,2117.465
37,2121.037
38,2124.627
39,2128.570
40,2131.372
41,2135.324
42,2139.184
43,2143.704
44,2148.327
45,2153.645
46,2159.597
47,2166.799
48,2172.316
49,2179.919
50,2186.252
51,2193.774
52,2201.011
53,2208.064
54,2215.834
55,2221.379
56,2226.338
57,2230.867
58,2234.989
59,2238.878
60,2242.728
61,2246.904
62,2250.490
63,2254.255
64,2257.767
65,2261.090
66,2264.439
67,2267.205
68,2270.187
69,2273.497
70,2276.854
71,2279.820
72,2282.645
73,2285.619
74,2288.481
75,2291.452
76,2294.665
77,2297.916
78,2302.084
79,2306.018
80,2310.882
81,2317.185
82,2326.516
83,2406.348
84,2598.781
85,2649.337
86,2711.666
87,2863.895
88,2959.775
89,3041.244
90,3124.009
91,3262.729
92,3416.393
93,3604.591
94,3840.579
95,4082.470
96,4247.452
97,4623.319
98,4892.442
99,5402.055
