Percentage served,Time in ms
0,102.593
1,253.050
2,356.330
3,374.934
4,400.707
5,427.162
6,435.033
7,441.400
8,444.479
9,447.786
10,449.532
11,451.765
12,452.875
13,454.056
14,455.154
15,456.241
16,457.334
17,458.090
18,458.781
19,459.692
20,460.500
21,461.159
22,461.850
23,462.352
24,462.724
25,463.151
26,463.634
27,464.099
28,464.561
29,465.099
30,465.453
31,465.807
32,466.424
33,466.778
34,467.439
35,467.856
36,468.205
37,468.696
38,469.307
39,469.738
40,470.151
41,470.475
42,470.986
43,471.468
44,471.907
45,472.318
46,472.637
47,473.105
48,473.481
49,473.709
50,474.129
51,474.513
52,474.825
53,475.180
54,475.541
55,475.944
56,476.369
57,476.676
58,477.075
59,477.439
60,477.806
61,478.395
62,478.835
63,479.268
64,479.714
65,480.216
66,480.527
67,481.033
68,481.365
69,481.748
70,482.133
71,482.614
72,482.986
73,483.474
74,484.086
75,484.538
76,485.153
77,485.942
78,486.781
79,487.335
80,487.925
81,488.586
82,489.312
83,490.056
84,490.670
85,491.459
86,492.346
87,493.829
88,494.588
89,495.516
90,496.561
91,499.230
92,501.987
93,506.054
94,513.790
95,534.375
96,545.525
97,562.002
98,615.459
99,646.926
