Percentage served,Time in ms
0,358.131
1,555.153
2,637.362
3,736.628
4,930.078
5,1794.825
6,1855.769
7,1900.800
8,1939.597
9,1977.596
10,2003.304
11,2016.401
12,2030.807
13,2039.687
14,2047.891
15,2054.791
16,2060.993
17,2067.631
18,2073.225
19,2077.515
20,2081.422
21,2085.044
22,2088.686
23,2092.442
24,2096.197
25,2098.843
26,2102.661
27,2106.577
28,2109.948
29,2113.608
30,2117.522
31,2121.292
32,2124.651
33,2128.842
34,2132.291
35,2136.609
36,2139.522
37,2143.191
38,2146.860
39,2150.437
40,2154.663
41,2157.684
42,2161.449
43,2164.708
44,2169.084
45,2172.815
46,2177.048
47,2180.324
48,2184.522
49,2188.874
50,2192.533
51,2195.234
52,2198.345
53,2201.036
54,2204.149
55,2206.835
56,2209.397
57,2212.143
58,2214.310
59,2216.793
60,2219.677
61,2222.391
62,2224.849
63,2227.285
64,2230.050
65,2232.733
66,2235.756
67,2238.541
68,2241.599
69,2245.386
70,2248.435
71,2251.567
72,2255.243
73,2259.141
74,2262.794
75,2267.026
76,2271.282
77,2276.707
78,2283.333
79,2289.749
80,2297.453
81,2307.641
82,2318.697
83,2341.033
84,2444.666
85,2567.878
86,2658.865
87,2908.571
88,3063.898
89,3190.405
90,3309.377
91,3474.526
92,3694.137
93,3908.655
94,4041.470
95,4146.079
96,4370.091
97,4682.914
98,4917.047
99,5388.821
