Percentage served,Time in ms
0,169.410
1,299.286
2,363.663
3,384.530
4,398.554
5,412.017
6,419.482
7,423.497
8,428.379
9,433.568
10,438.032
11,441.738
12,443.366
13,445.893
14,447.239
15,449.038
16,450.446
17,451.129
18,452.019
19,452.966
20,454.060
21,454.824
22,455.392
23,455.939
24,456.771
25,457.254
26,457.971
27,458.377
28,458.797
29,459.149
30,459.608
31,460.098
32,460.423
33,460.879
34,461.170
35,461.646
36,461.895
37,462.176
38,462.420
39,462.701
40,463.139
41,463.652
42,463.993
43,464.341
44,464.635
45,464.939
46,465.273
47,465.827
48,466.316
49,466.632
50,467.026
51,467.459
52,467.946
53,468.393
54,468.763
55,469.071
56,469.457
57,469.762
58,470.067
59,470.657
60,470.903
61,471.308
62,471.856
63,472.336
64,472.854
65,473.450
66,473.922
67,474.486
68,474.993
69,475.355
70,475.807
71,476.263
72,477.009
73,477.611
74,478.089
75,478.784
76,479.218
77,479.755
78,480.539
79,481.194
80,481.797
81,482.509
82,483.416
83,484.022
84,485.047
85,486.573
86,487.488
87,489.031
88,490.597
89,493.466
90,496.721
91,500.191
92,503.600
93,510.150
94,518.760
95,528.423
96,540.921
97,566.335
98,595.122
99,658.034
