Percentage served,Time in ms
0,169.014
1,832.771
2,1284.840
3,1460.786
4,1494.469
5,1512.201
6,1525.245
7,1537.939
8,1551.805
9,1568.117
10,1581.496
11,1595.249
12,1605.154
13,1614.214
14,1622.474
15,1631.882
16,1640.605
17,1648.446
18,1656.565
19,1668.609
20,1677.253
21,1684.957
22,1693.441
23,1702.152
24,1709.040
25,1717.672
26,1726.206
27,1735.649
28,1751.447
29,1769.920
30,1785.185
31,1794.086
32,1802.893
33,1810.862
34,1821.154
35,1830.899
36,1840.480
37,1853.373
38,1873.383
39,1891.358
40,1907.381
41,1925.589
42,1962.405
43,1997.301
44,2026.643
45,2051.988
46,2085.527
47,2131.587
48,2221.281
49,2293.372
50,2376.448
51,2427.498
52,2457.388
53,2502.629
54,2551.244
55,2579.567
56,2597.364
57,2615.472
58,2641.284
59,2662.843
60,2685.953
61,2711.877
62,2746.031
63,2766.435
64,2781.568
65,2791.192
66,2801.638
67,2813.331
68,2822.745
69,2830.356
70,2838.859
71,2847.166
72,2854.429
73,2861.889
74,2869.079
75,2878.428
76,2887.928
77,2898.187
78,2906.577
79,2913.806
80,2920.394
81,2926.122
82,2931.947
83,2937.215
84,2941.737
85,2947.092
86,2952.863
87,2958.025
88,2963.805
89,2969.353
90,2975.986
91,2980.998
92,2988.122
93,2994.870
94,3001.829
95,3007.961
96,3015.618
97,3026.064
98,3036.720
99,3470.044
