Percentage served,Time in ms
0,76.077
1,227.497
2,366.466
3,383.449
4,397.075
5,410.119
6,414.978
7,420.011
8,424.768
9,428.546
10,432.453
11,435.973
12,437.957
13,440.337
14,442.365
15,444.284
16,445.368
17,446.570
18,447.952
19,448.956
20,450.125
21,451.261
22,452.496
23,453.256
24,453.796
25,454.656
26,455.379
27,456.007
28,456.603
29,457.313
30,457.840
31,458.325
32,459.105
33,459.770
34,460.313
35,460.913
36,461.280
37,461.641
38,462.050
39,462.676
40,463.298
41,463.918
42,464.292
43,465.020
44,465.656
45,466.243
46,466.815
47,467.309
48,467.841
49,468.429
50,468.979
51,469.303
52,469.907
53,470.355
54,470.647
55,470.919
56,471.372
57,471.918
58,472.438
59,473.041
60,473.499
61,473.974
62,474.371
63,474.814
64,475.180
65,475.684
66,476.151
67,476.765
68,477.283
69,477.695
70,478.337
71,479.310
72,480.078
73,480.813
74,481.600
75,482.305
76,483.186
77,484.283
78,484.951
79,485.588
80,486.223
81,486.891
82,487.609
83,488.424
84,489.097
85,489.592
86,490.294
87,491.295
88,492.064
89,493.943
90,496.324
91,499.530
92,502.121
93,506.315
94,511.282
95,518.375
96,527.533
97,540.641
98,567.228
99,668.586
