Percentage served,Time in ms
0,358.027
1,1529.498
2,2589.481
3,3327.798
4,3512.173
5,3573.991
6,3615.662
7,3643.562
8,3677.348
9,3710.144
10,3739.563
11,3763.052
12,3792.752
13,3814.698
14,3835.025
15,3851.432
16,3867.843
17,3884.388
18,3900.639
19,3914.627
20,3929.380
21,3945.145
22,3958.319
23,3970.528
24,3987.325
25,4005.030
26,4025.302
27,4041.374
28,4058.350
29,4076.052
30,4093.798
31,4109.986
32,4121.983
33,4135.754
34,4148.645
35,4160.694
36,4171.132
37,4183.733
38,4198.714
39,4219.537
40,4244.789
41,4273.200
42,4310.984
43,4373.666
44,4427.525
45,4469.536
46,4504.300
47,4535.081
48,4557.765
49,4574.154
50,4592.810
51,4611.448
52,4625.495
53,4638.513
54,4650.073
55,4661.442
56,4672.604
57,4682.809
58,4694.118
59,4706.351
60,4719.092
61,4729.677
62,4740.944
63,4752.890
64,4769.279
65,4784.999
66,4802.952
67,4815.480
68,4826.240
69,4838.286
70,4850.446
71,4861.181
72,4873.133
73,4883.767
74,4894.022
75,4905.225
76,4917.123
77,4928.655
78,4941.727
79,4954.622
80,4965.730
81,4978.910
82,4995.502
83,5014.331
84,5038.193
85,5079.442
86,5160.714
87,5265.286
88,5369.532
89,5490.173
90,5590.030
91,5672.603
92,5738.522
93,5799.712
94,5874.935
95,5976.981
96,6412.168
97,6802.893
98,7161.524
99,7738.688
