Percentage served,Time in ms
0,80.335
1,248.984
2,383.246
3,406.339
4,417.283
5,422.865
6,429.303
7,433.974
8,436.692
9,441.493
10,444.812
11,446.559
12,448.090
13,449.505
14,450.854
15,452.114
16,453.019
17,453.659
18,454.408
19,455.142
20,455.542
21,455.883
22,456.388
23,457.046
24,457.523
25,458.210
26,458.725
27,459.014
28,459.499
29,459.890
30,460.228
31,460.652
32,460.946
33,461.258
34,461.542
35,461.979
36,462.278
37,462.571
38,462.977
39,463.152
40,463.408
41,463.612
42,463.854
43,464.173
44,464.612
45,464.890
46,465.231
47,465.439
48,465.851
49,466.159
50,466.617
51,466.870
52,467.256
53,467.604
54,467.892
55,468.239
56,468.589
57,468.932
58,469.341
59,469.675
60,469.964
61,470.284
62,470.484
63,471.005
64,471.240
65,471.593
66,472.051
67,472.663
68,473.112
69,473.584
70,474.158
71,474.553
72,475.152
73,475.634
74,476.266
75,477.121
76,477.697
77,478.448
78,478.865
79,479.404
80,480.105
81,480.956
82,481.665
83,482.451
84,483.347
85,484.204
86,485.780
87,486.505
88,487.872
89,489.475
90,490.290
91,491.429
92,494.339
93,496.229
94,500.096
95,507.273
96,516.106
97,529.343
98,552.718
99,648.284
