Percentage served,Time in ms
0,123.185
1,728.914
2,1200.737
3,1343.840
4,1369.352
5,1392.064
6,1415.769
7,1437.576
8,1470.157
9,1500.008
10,1556.801
11,1599.118
12,1639.322
13,1669.764
14,1701.149
15,1719.188
16,1733.737
17,1751.184
18,1767.507
19,1785.417
20,1804.667
21,1829.874
22,1892.875
23,1945.309
24,2013.463
25,2047.784
26,2070.009
27,2083.092
28,2094.911
29,2105.049
30,2115.397
31,2122.750
32,2128.748
33,2136.382
34,2144.301
35,2151.744
36,2159.592
37,2170.420
38,2181.667
39,2194.244
40,2212.823
41,2229.997
42,2242.422
43,2253.639
44,2267.497
45,2280.468
46,2292.924
47,2307.326
48,2319.760
49,2330.414
50,2344.360
51,2355.185
52,2365.985
53,2376.620
54,2389.174
55,2401.640
56,2411.677
57,2424.404
58,2438.870
59,2453.423
60,2465.467
61,2474.470
62,2482.918
63,2492.586
64,2500.448
65,2507.395
66,2514.422
67,2524.020
68,2530.308
69,2538.773
70,2546.580
71,2555.091
72,2562.822
73,2570.145
74,2577.239
75,2584.945
76,2594.090
77,2606.184
78,2624.229
79,2652.804
80,2708.047
81,2734.429
82,2767.899
83,2801.940
84,2819.894
85,2838.573
86,2854.044
87,2866.238
88,2876.901
89,2889.568
90,2901.750
91,2915.370
92,2931.916
93,2948.397
94,2965.537
95,2986.911
96,3009.772
97,3031.058
98,3071.373
99,3970.614
