Percentage served,Time in ms
0,184.618
1,840.686
2,1299.303
3,1865.407
4,1927.718
5,1952.279
6,1985.321
7,2018.558
8,2036.517
9,2055.862
10,2070.705
11,2082.754
12,2094.308
13,2105.675
14,2112.119
15,2121.174
16,2129.849
17,2138.595
18,2144.579
19,2149.735
20,2155.495
21,2159.943
22,2164.973
23,2169.464
24,2173.822
25,2179.254
26,2183.418
27,2189.744
28,2194.436
29,2199.080
30,2204.250
31,2208.236
32,2213.331
33,2219.370
34,2225.051
35,2231.381
36,2237.696
37,2245.240
38,2251.949
39,2258.695
40,2264.637
41,2270.983
42,2277.443
43,2283.726
44,2290.053
45,2295.801
46,2301.303
47,2308.334
48,2317.496
49,2326.817
50,2333.719
51,2341.288
52,2349.325
53,2356.508
54,2365.842
55,2372.983
56,2381.033
57,2388.909
58,2395.833
59,2401.844
60,2407.189
61,2412.875
62,2417.682
63,2422.068
64,2426.917
65,2431.921
66,2436.722
67,2442.079
68,2446.413
69,2452.181
70,2457.579
71,2463.250
72,2468.339
73,2473.070
74,2478.030
75,2481.933
76,2485.936
77,2490.302
78,2495.062
79,2500.261
80,2505.382
81,2510.617
82,2516.899
83,2522.639
84,2528.081
85,2533.905
86,2539.505
87,2546.896
88,2556.201
89,2564.666
90,2576.309
91,2589.172
92,2604.306
93,2618.752
94,2632.341
95,2654.811
96,2677.537
97,2694.540
98,2711.220
99,2745.077
