Percentage served,Time in ms
0,657.150
1,1374.108
2,1669.275
3,1774.406
4,1805.551
5,1820.277
6,1832.030
7,1842.767
8,1849.588
9,1857.840
10,1868.441
11,1880.451
12,1892.443
13,1903.221
14,1912.998
15,1926.792
16,1950.450
17,1981.594
18,2018.493
19,2042.608
20,2062.249
21,2076.649
22,2085.849
23,2092.722
24,2100.062
25,2107.646
26,2115.301
27,2122.250
28,2129.143
29,2135.757
30,2142.436
31,2148.501
32,2153.515
33,2158.351
34,2163.330
35,2166.926
36,2171.778
37,2176.880
38,2181.383
39,2185.821
40,2189.468
41,2193.666
42,2198.184
43,2201.794
44,2205.537
45,2208.623
46,2211.818
47,2215.142
48,2218.201
49,2220.610
50,2223.427
51,2226.876
52,2229.397
53,2232.269
54,2234.687
55,2237.577
56,2239.996
57,2242.409
58,2244.812
59,2247.042
60,2249.615
61,2251.512
62,2253.872
63,2256.474
64,2258.818
65,2260.768
66,2263.540
67,2266.134
68,2268.402
69,2270.756
70,2273.373
71,2275.539
72,2277.447
73,2280.066
74,2282.745
75,2285.356
76,2288.421
77,2291.256
78,2295.545
79,2299.320
80,2304.004
81,2307.937
82,2313.743
83,2320.510
84,2331.584
85,2425.372
86,2581.773
87,2661.661
88,2759.926
89,2943.251
90,3097.965
91,3250.459
92,3385.419
93,3536.269
94,3672.224
95,3984.465
96,4185.564
97,4579.660
98,4925.415
99,5500.995
