Percentage served,Time in ms
0,622.414
1,1913.160
2,2109.996
3,2124.759
4,2133.040
5,2139.082
6,2143.644
7,2148.479
8,2153.409
9,2157.680
10,2161.254
11,2164.799
12,2168.495
13,2171.716
14,2175.351
15,2179.108
16,2182.775
17,2187.065
18,2191.509
19,2195.649
20,2199.572
21,2203.633
22,2207.829
23,2213.495
24,2219.436
25,2227.479
26,2251.324
27,2475.968
28,2504.946
29,2525.661
30,2541.803
31,2559.571
32,2586.227
33,2838.034
34,2874.733
35,2906.152
36,2945.464
37,3127.357
38,3153.582
39,3172.315
40,3187.656
41,3201.896
42,3218.860
43,3253.227
44,3316.126
45,3413.345
46,3469.488
47,3515.476
48,3564.651
49,3632.806
50,3764.391
51,3869.861
52,3913.558
53,3942.017
54,3977.360
55,4019.334
56,4111.643
57,4256.949
58,4346.893
59,4466.815
60,4586.014
61,4657.533
62,4716.824
63,4795.464
64,4909.063
65,4991.676
66,5071.195
67,5186.808
68,5272.733
69,5350.713
70,5432.844
71,5528.816
72,5623.660
73,5715.014
74,5819.606
75,5924.297
76,6051.089
77,6173.898
78,6301.706
79,6434.217
80,6582.132
81,6781.450
82,6975.699
83,7156.957
84,7389.777
85,7565.214
86,7730.334
87,7952.768
88,8183.089
89,8420.653
90,8646.687
91,8995.210
92,9334.555
93,9684.088
94,10077.320
95,10626.026
96,11278.925
97,11998.097
98,13010.918
99,15295.019
