Percentage served,Time in ms
0,788.431
1,2061.891
2,2090.924
3,2112.418
4,2123.179
5,2129.515
6,2135.347
7,2139.999
8,2144.709
9,2148.661
10,2152.662
11,2156.581
12,2160.809
13,2165.827
14,2170.585
15,2175.229
16,2181.130
17,2185.987
18,2191.667
19,2197.373
20,2203.299
21,2209.598
22,2216.819
23,2224.867
24,2232.723
25,2245.824
26,2392.820
27,2485.865
28,2508.123
29,2528.027
30,2549.674
31,2580.634
32,2798.813
33,2857.250
34,2891.480
35,2953.334
36,3118.100
37,3142.114
38,3160.620
39,3179.631
40,3200.303
41,3218.194
42,3242.830
43,3326.026
44,3424.284
45,3483.577
46,3541.811
47,3600.961
48,3735.772
49,3848.726
50,3900.630
51,3928.096
52,3959.466
53,4005.704
54,4080.434
55,4217.654
56,4297.083
57,4409.311
58,4508.201
59,4592.304
60,4648.166
61,4720.124
62,4803.335
63,4892.929
64,4971.934
65,5047.614
66,5169.028
67,5260.687
68,5329.770
69,5423.847
70,5519.074
71,5614.874
72,5704.989
73,5793.344
74,5893.750
75,6005.267
76,6102.611
77,6226.642
78,6351.068
79,6473.232
80,6615.369
81,6768.096
82,6932.667
83,7122.401
84,7340.077
85,7532.968
86,7707.291
87,7874.802
88,8095.383
89,8329.315
90,8620.248
91,8906.822
92,9215.769
93,9579.622
94,9960.439
95,10468.785
96,11058.915
97,11871.475
98,12889.207
99,14783.585
