Percentage served,Time in ms
0,1458.554
1,2089.113
2,2105.330
3,2112.637
4,2117.199
5,2120.919
6,2124.591
7,2127.294
8,2130.058
9,2132.700
10,2135.259
11,2137.764
12,2140.132
13,2142.953
14,2145.275
15,2148.166
16,2151.078
17,2154.128
18,2157.399
19,2160.563
20,2164.972
21,2171.374
22,2180.860
23,2412.826
24,2469.958
25,2482.080
26,2492.527
27,2503.740
28,2514.532
29,2533.990
30,2799.821
31,2831.093
32,2846.280
33,2861.885
34,2886.537
35,3073.049
36,3119.686
37,3134.595
38,3150.507
39,3167.392
40,3191.137
41,3215.473
42,3294.796
43,3391.348
44,3440.642
45,3495.008
46,3541.436
47,3594.788
48,3762.917
49,3842.950
50,3875.781
51,3899.022
52,3923.415
53,3952.500
54,4068.377
55,4196.291
56,4271.323
57,4374.235
58,4479.073
59,4573.271
60,4621.229
61,4661.133
62,4771.470
63,4876.901
64,4958.706
65,5028.680
66,5132.380
67,5213.565
68,5294.581
69,5377.353
70,5459.774
71,5576.292
72,5668.827
73,5743.770
74,5840.066
75,5949.295
76,6072.336
77,6207.538
78,6340.025
79,6463.003
80,6635.908
81,6801.889
82,6986.188
83,7156.403
84,7354.717
85,7511.172
86,7688.547
87,7898.740
88,8122.779
89,8373.492
90,8629.100
91,8911.868
92,9209.631
93,9559.099
94,9950.237
95,10407.415
96,11024.578
97,11875.941
98,12855.886
99,14545.444
