Percentage served,Time in ms
0,158.363
1,292.684
2,350.306
3,404.988
4,426.394
5,437.692
6,442.391
7,445.019
8,447.587
9,449.679
10,451.577
11,453.029
12,454.375
13,455.949
14,456.987
15,458.327
16,459.188
17,460.181
18,460.984
19,462.156
20,462.622
21,463.233
22,463.676
23,464.116
24,464.643
25,465.320
26,465.649
27,466.121
28,466.542
29,466.891
30,467.123
31,467.590
32,468.046
33,468.346
34,468.579
35,469.063
36,469.248
37,469.691
38,470.056
39,470.327
40,470.600
41,470.974
42,471.322
43,471.587
44,471.858
45,472.243
46,472.495
47,472.763
48,473.017
49,473.238
50,473.623
51,473.864
52,474.210
53,474.443
54,474.685
55,474.936
56,475.172
57,475.587
58,475.893
59,476.287
60,476.567
61,476.805
62,477.146
63,477.618
64,477.901
65,478.157
66,478.483
67,478.791
68,479.201
69,479.540
70,480.127
71,480.607
72,481.014
73,481.574
74,481.933
75,482.258
76,483.115
77,483.539
78,483.894
79,484.388
80,485.189
81,485.765
82,486.357
83,487.445
84,488.224
85,489.010
86,489.855
87,490.619
88,491.998
89,493.038
90,493.974
91,495.178
92,496.662
93,499.596
94,502.397
95,506.680
96,514.437
97,525.142
98,594.056
99,707.367
