Percentage served,Time in ms
0,498.443
1,879.554
2,1045.149
3,1291.193
4,1519.095
5,2074.492
6,2112.726
7,2129.643
8,2139.443
9,2147.066
10,2153.669
11,2160.042
12,2165.352
13,2171.163
14,2176.040
15,2180.336
16,2184.938
17,2188.986
18,2194.158
19,2199.730
20,2206.038
21,2211.738
22,2216.604
23,2221.968
24,2226.472
25,2232.169
26,2237.551
27,2243.881
28,2251.319
29,2260.955
30,2290.854
31,2490.929
32,2516.388
33,2544.434
34,2577.351
35,2609.348
36,2819.040
37,2879.807
38,2929.103
39,2978.062
40,3121.966
41,3156.155
42,3179.048
43,3198.975
44,3222.782
45,3240.552
46,3269.639
47,3364.011
48,3453.566
49,3524.197
50,3582.392
51,3698.728
52,3837.252
53,3907.425
54,3950.334
55,3989.360
56,4039.741
57,4112.809
58,4267.864
59,4381.819
60,4501.395
61,4614.764
62,4692.904
63,4783.601
64,4879.463
65,4980.364
66,5075.816
67,5215.502
68,5312.620
69,5379.431
70,5494.794
71,5592.223
72,5699.822
73,5793.773
74,5920.014
75,6060.586
76,6199.825
77,6315.959
78,6450.356
79,6613.826
80,6799.008
81,7005.015
82,7179.345
83,7392.212
84,7609.237
85,7760.242
86,7967.771
87,8200.039
88,8440.769
89,8672.230
90,8950.576
91,9215.461
92,9517.664
93,9863.118
94,10295.043
95,10845.510
96,11469.625
97,12287.239
98,13272.804
99,15714.520
