Percentage served,Time in ms
0,347.154
1,946.671
2,1650.298
3,1734.636
4,1798.768
5,1837.424
6,1856.668
7,1869.720
8,1882.337
9,1893.250
10,1905.267
11,1914.089
12,1924.621
13,1934.516
14,1946.140
15,1960.907
16,1972.960
17,1981.440
18,1991.049
19,2003.038
20,2018.365
21,2030.414
22,2043.454
23,2061.244
24,2074.163
25,2084.361
26,2094.174
27,2100.565
28,2108.306
29,2116.155
30,2123.800
31,2131.177
32,2137.087
33,2142.825
34,2147.573
35,2152.657
36,2156.608
37,2161.037
38,2164.793
39,2168.171
40,2171.892
41,2175.352
42,2178.231
43,2182.341
44,2185.701
45,2189.250
46,2192.431
47,2195.420
48,2198.040
49,2200.630
50,2203.411
51,2206.033
52,2208.798
53,2211.686
54,2214.757
55,2217.542
56,2220.043
57,2222.868
58,2225.520
59,2227.757
60,2230.380
61,2233.064
62,2235.954
63,2238.422
64,2241.395
65,2244.033
66,2246.387
67,2248.866
68,2251.166
69,2253.567
70,2256.239
71,2258.645
72,2261.219
73,2264.697
74,2267.060
75,2270.217
76,2273.759
77,2277.222
78,2282.687
79,2288.798
80,2295.964
81,2303.005
82,2311.353
83,2326.274
84,2466.413
85,2594.629
86,2680.727
87,2889.434
88,2988.493
89,3088.912
90,3177.923
91,3269.113
92,3385.668
93,3585.113
94,3833.903
95,4059.381
96,4332.030
97,4620.126
98,4863.269
99,5349.407
