Percentage served,Time in ms
0,61.212
1,214.510
2,258.257
3,332.489
4,362.412
5,389.403
6,419.986
7,442.505
8,446.686
9,449.238
10,451.895
11,453.249
12,454.008
13,455.276
14,456.224
15,456.998
16,457.464
17,458.151
18,458.957
19,459.661
20,460.284
21,460.738
22,461.269
23,461.788
24,462.611
25,463.050
26,463.502
27,464.067
28,464.644
29,465.171
30,465.544
31,465.927
32,466.486
33,466.976
34,467.370
35,467.829
36,468.166
37,468.540
38,468.889
39,469.213
40,469.570
41,470.067
42,470.540
43,470.896
44,471.265
45,471.584
46,472.037
47,472.385
48,472.627
49,473.068
50,473.545
51,473.880
52,474.326
53,474.741
54,475.039
55,475.296
56,475.627
57,475.956
58,476.172
59,476.397
60,476.846
61,477.226
62,477.553
63,477.943
64,478.292
65,478.659
66,479.062
67,479.589
68,479.904
69,480.287
70,480.665
71,481.133
72,481.714
73,482.134
74,482.463
75,482.921
76,483.380
77,483.870
78,484.487
79,485.093
80,485.513
81,486.048
82,486.835
83,487.555
84,488.375
85,488.968
86,489.902
87,491.164
88,492.151
89,493.300
90,494.775
91,496.421
92,498.782
93,501.564
94,506.547
95,509.877
96,519.301
97,584.072
98,699.039
99,802.298
