Percentage served,Time in ms
0,26.591
1,104.540
2,336.556
3,385.523
4,408.285
5,437.655
6,447.905
7,451.048
8,453.405
9,454.592
10,455.755
11,456.907
12,458.173
13,459.195
14,459.792
15,460.353
16,461.081
17,461.837
18,462.548
19,463.215
20,463.593
21,463.942
22,464.478
23,464.896
24,465.256
25,465.716
26,466.003
27,466.427
28,467.005
29,467.431
30,467.729
31,467.939
32,468.123
33,468.561
34,468.815
35,469.238
36,469.493
37,469.814
38,470.181
39,470.483
40,470.799
41,471.092
42,471.370
43,471.730
44,471.978
45,472.430
46,472.705
47,473.086
48,473.321
49,473.605
50,473.818
51,474.092
52,474.309
53,474.524
54,474.738
55,475.103
56,475.347
57,475.655
58,475.864
59,476.087
60,476.386
61,476.746
62,477.128
63,477.472
64,477.715
65,478.130
66,478.608
67,478.860
68,479.189
69,479.559
70,479.932
71,480.289
72,480.560
73,481.114
74,481.511
75,481.902
76,482.389
77,482.817
78,483.426
79,483.844
80,484.469
81,485.058
82,485.706
83,486.492
84,487.148
85,487.758
86,488.831
87,489.746
88,490.492
89,491.575
90,493.205
91,494.622
92,496.086
93,499.216
94,503.578
95,517.154
96,535.177
97,631.615
98,706.734
99,747.422
