Percentage served,Time in ms
0,912.432
1,1525.464
2,2076.957
3,2106.103
4,2122.619
5,2134.980
6,2143.050
7,2148.981
8,2154.594
9,2159.279
10,2163.923
11,2168.100
12,2171.924
13,2175.703
14,2179.202
15,2183.480
16,2187.400
17,2191.107
18,2194.846
19,2198.805
20,2202.496
21,2206.917
22,2211.846
23,2217.469
24,2225.517
25,2242.026
26,2450.797
27,2504.570
28,2527.410
29,2542.984
30,2561.836
31,2586.174
32,2784.012
33,2880.851
34,2915.626
35,2954.825
36,3028.593
37,3133.749
38,3158.825
39,3175.394
40,3190.652
41,3207.460
42,3233.228
43,3284.668
44,3374.146
45,3443.627
46,3492.518
47,3539.358
48,3601.645
49,3711.664
50,3852.982
51,3911.305
52,3947.104
53,3976.302
54,4015.374
55,4094.905
56,4240.748
57,4332.787
58,4431.949
59,4535.988
60,4632.854
61,4699.045
62,4756.932
63,4883.562
64,4974.443
65,5057.150
66,5165.828
67,5253.998
68,5317.842
69,5407.715
70,5482.911
71,5554.949
72,5652.620
73,5751.011
74,5852.598
75,5972.870
76,6107.928
77,6215.911
78,6352.384
79,6473.781
80,6595.369
81,6763.460
82,6952.892
83,7125.526
84,7319.522
85,7517.973
86,7673.598
87,7864.790
88,8108.272
89,8318.023
90,8571.410
91,8826.326
92,9145.216
93,9480.747
94,9924.833
95,10388.920
96,10945.752
97,11736.791
98,12751.332
99,14580.397
