Percentage served,Time in ms
0,1616.819
1,2100.201
2,2125.599
3,2137.554
4,2144.786
5,2151.130
6,2156.237
7,2160.891
8,2164.902
9,2169.428
10,2172.807
11,2176.064
12,2179.671
13,2183.335
14,2187.525
15,2191.199
16,2194.502
17,2198.079
18,2201.706
19,2205.382
20,2208.891
21,2212.595
22,2216.114
23,2220.710
24,2225.741
25,2234.111
26,2251.448
27,2472.256
28,2515.873
29,2535.990
30,2553.019
31,2573.221
32,2601.581
33,2850.919
34,2894.956
35,2925.335
36,2981.964
37,3144.227
38,3168.699
39,3184.615
40,3198.628
41,3210.827
42,3228.461
43,3262.766
44,3329.818
45,3419.213
46,3481.212
47,3537.691
48,3585.845
49,3669.749
50,3825.337
51,3895.745
52,3929.515
53,3959.294
54,3991.878
55,4031.367
56,4132.838
57,4278.600
58,4362.071
59,4463.949
60,4588.744
61,4670.416
62,4733.887
63,4827.885
64,4932.583
65,5006.609
66,5092.869
67,5209.296
68,5283.735
69,5349.005
70,5445.467
71,5532.410
72,5638.955
73,5740.367
74,5834.884
75,5946.593
76,6059.780
77,6152.040
78,6262.738
79,6377.294
80,6520.195
81,6667.157
82,6877.995
83,7056.322
84,7247.749
85,7468.512
86,7664.242
87,7867.085
88,8093.646
89,8337.932
90,8640.143
91,8943.851
92,9306.929
93,9661.742
94,10083.677
95,10589.906
96,11176.781
97,12040.488
98,13277.415
99,15349.541
