Percentage served,Time in ms
0,1299.145
1,1876.804
2,2092.167
3,2111.324
4,2120.474
5,2127.290
6,2133.954
7,2139.283
8,2144.912
9,2149.746
10,2155.072
11,2159.769
12,2164.639
13,2169.236
14,2173.865
15,2178.735
16,2182.827
17,2186.909
18,2191.079
19,2195.772
20,2200.910
21,2205.631
22,2211.214
23,2217.468
24,2226.320
25,2238.783
26,2415.632
27,2484.420
28,2511.613
29,2533.578
30,2553.440
31,2578.680
32,2667.792
33,2836.893
34,2887.985
35,2919.654
36,3048.963
37,3132.248
38,3156.768
39,3175.721
40,3193.282
41,3208.373
42,3234.269
43,3284.827
44,3359.491
45,3432.007
46,3490.359
47,3540.650
48,3610.257
49,3773.536
50,3861.136
51,3902.588
52,3938.867
53,3976.158
54,4017.519
55,4096.170
56,4230.475
57,4319.223
58,4419.061
59,4527.247
60,4605.104
61,4672.006
62,4748.893
63,4866.451
64,4962.337
65,5057.512
66,5155.074
67,5243.188
68,5311.966
69,5395.564
70,5484.933
71,5591.980
72,5682.601
73,5774.610
74,5886.188
75,6023.707
76,6120.957
77,6232.835
78,6358.180
79,6484.248
80,6633.515
81,6819.173
82,7001.652
83,7183.134
84,7369.978
85,7561.686
86,7713.157
87,7900.503
88,8109.271
89,8335.983
90,8576.383
91,8874.589
92,9208.013
93,9523.083
94,9886.234
95,10388.698
96,10990.064
97,11719.324
98,12665.068
99,14190.263
