Percentage served,Time in ms
0,175.389
1,362.034
2,400.464
3,414.822
4,427.438
5,433.234
6,435.845
7,439.738
8,443.514
9,447.531
10,450.046
11,451.445
12,453.192
13,454.535
14,455.538
15,456.639
16,457.646
17,458.638
18,459.352
19,459.932
20,460.602
21,461.064
22,461.559
23,462.181
24,462.716
25,463.363
26,463.927
27,464.511
28,464.901
29,465.187
30,465.425
31,465.802
32,466.313
33,466.883
34,467.212
35,467.553
36,468.208
37,468.590
38,469.040
39,469.624
40,469.994
41,470.449
42,470.890
43,471.208
44,471.582
45,471.779
46,472.227
47,472.644
48,473.330
49,473.857
50,474.259
51,474.620
52,475.126
53,475.377
54,475.674
55,475.958
56,476.292
57,476.706
58,477.103
59,477.509
60,477.810
61,478.214
62,478.572
63,478.924
64,479.362
65,479.755
66,480.216
67,480.517
68,480.872
69,481.399
70,481.710
71,482.126
72,482.529
73,482.987
74,483.456
75,483.820
76,484.236
77,485.135
78,485.537
79,486.194
80,486.584
81,487.360
82,488.116
83,488.835
84,489.460
85,490.265
86,490.799
87,491.717
88,492.794
89,494.017
90,495.384
91,497.061
92,499.136
93,500.909
94,502.984
95,506.617
96,512.146
97,520.493
98,615.431
99,650.638
