Percentage served,Time in ms
0,1778.132
1,2100.276
2,2109.956
3,2116.300
4,2120.927
5,2124.744
6,2128.816
7,2132.070
8,2135.218
9,2138.904
10,2142.550
11,2145.863
12,2149.143
13,2152.877
14,2156.173
15,2159.762
16,2163.982
17,2168.317
18,2172.010
19,2176.236
20,2180.608
21,2186.793
22,2193.759
23,2203.442
24,2243.544
25,2470.460
26,2486.543
27,2499.748
28,2514.260
29,2529.707
30,2550.855
31,2772.181
32,2831.593
33,2855.213
34,2880.314
35,2912.569
36,3111.080
37,3134.467
38,3153.046
39,3167.724
40,3186.238
41,3211.537
42,3257.291
43,3376.349
44,3429.441
45,3492.216
46,3543.805
47,3609.386
48,3754.108
49,3856.694
50,3888.802
51,3911.192
52,3937.502
53,3973.011
54,4041.597
55,4182.645
56,4271.330
57,4356.787
58,4446.137
59,4544.829
60,4609.466
61,4657.439
62,4728.469
63,4835.000
64,4925.226
65,5001.466
66,5093.053
67,5202.153
68,5276.963
69,5361.190
70,5460.301
71,5584.297
72,5670.293
73,5757.973
74,5858.247
75,5978.493
76,6082.683
77,6208.285
78,6335.631
79,6443.510
80,6566.498
81,6748.820
82,6936.267
83,7109.944
84,7345.964
85,7522.114
86,7703.990
87,7912.404
88,8134.943
89,8417.476
90,8662.731
91,8946.306
92,9253.950
93,9624.608
94,10047.985
95,10570.248
96,11218.283
97,12031.147
98,13038.179
99,14818.899
