Percentage served,Time in ms
0,178.214
1,287.350
2,314.977
3,356.684
4,414.718
5,431.799
6,438.400
7,443.831
8,447.688
9,449.521
10,450.911
11,452.689
12,453.610
13,454.683
14,455.537
15,456.852
16,457.543
17,458.869
18,459.900
19,460.769
20,461.252
21,461.777
22,462.356
23,462.830
24,463.183
25,463.668
26,464.244
27,464.635
28,465.278
29,465.804
30,466.136
31,466.808
32,467.277
33,467.684
34,468.117
35,468.793
36,469.132
37,469.416
38,469.879
39,470.221
40,470.534
41,470.948
42,471.300
43,471.608
44,472.057
45,472.396
46,472.667
47,472.959
48,473.311
49,473.689
50,473.926
51,474.222
52,474.534
53,475.015
54,475.323
55,475.888
56,476.252
57,476.608
58,476.975
59,477.225
60,477.375
61,477.719
62,478.080
63,478.453
64,478.974
65,479.402
66,479.902
67,480.274
68,480.850
69,481.469
70,481.905
71,482.545
72,483.148
73,483.818
74,484.412
75,484.887
76,485.377
77,485.800
78,486.299
79,487.521
80,488.359
81,489.001
82,489.874
83,490.753
84,491.344
85,492.287
86,493.760
87,494.824
88,496.365
89,497.925
90,500.420
91,503.435
92,507.377
93,512.736
94,517.197
95,524.302
96,548.178
97,575.171
98,619.870
99,642.707
