Percentage served,Time in ms
0,65.781
1,199.849
2,287.080
3,330.942
4,383.689
5,425.797
6,438.219
7,447.328
8,451.072
9,454.302
10,456.091
11,457.552
12,458.834
13,459.896
14,460.701
15,461.705
16,462.389
17,463.013
18,463.450
19,464.216
20,464.576
21,465.026
22,465.457
23,465.785
24,466.326
25,466.804
26,467.232
27,467.432
28,467.831
29,468.021
30,468.475
31,468.827
32,469.193
33,469.418
34,469.746
35,470.043
36,470.277
37,470.614
38,470.852
39,471.055
40,471.318
41,471.525
42,471.713
43,471.924
44,472.207
45,472.407
46,472.630
47,472.854
48,473.091
49,473.260
50,473.478
51,473.758
52,474.113
53,474.401
54,474.652
55,475.041
56,475.335
57,475.535
58,475.822
59,476.182
60,476.431
61,476.762
62,477.003
63,477.295
64,477.609
65,477.883
66,478.164
67,478.447
68,478.774
69,479.081
70,479.577
71,479.992
72,480.259
73,480.494
74,480.841
75,481.384
76,481.772
77,482.171
78,482.878
79,483.378
80,484.095
81,484.908
82,485.387
83,486.166
84,486.917
85,487.912
86,488.780
87,490.160
88,491.824
89,493.417
90,496.379
91,501.095
92,506.970
93,519.803
94,530.286
95,553.818
96,578.832
97,637.820
98,691.449
99,722.620
