Percentage served,Time in ms
0,59.031
1,145.993
2,183.809
3,268.720
4,330.872
5,374.455
6,423.626
7,433.533
8,444.500
9,448.512
10,451.929
11,454.353
12,455.844
13,457.330
14,458.426
15,459.276
16,460.037
17,460.846
18,461.300
19,462.198
20,462.716
21,463.549
22,464.103
23,464.537
24,464.868
25,465.260
26,465.723
27,466.113
28,466.403
29,466.783
30,467.222
31,467.595
32,467.899
33,468.223
34,468.573
35,468.834
36,469.134
37,469.431
38,469.922
39,470.309
40,470.565
41,470.819
42,471.142
43,471.377
44,471.649
45,471.904
46,472.187
47,472.412
48,472.693
49,472.985
50,473.195
51,473.413
52,473.583
53,473.756
54,473.997
55,474.249
56,474.540
57,474.907
58,475.241
59,475.549
60,475.853
61,476.107
62,476.393
63,476.597
64,476.892
65,477.190
66,477.655
67,477.914
68,478.189
69,478.574
70,478.928
71,479.392
72,479.822
73,480.258
74,480.716
75,481.053
76,481.426
77,481.810
78,482.100
79,482.421
80,482.887
81,483.516
82,484.420
83,485.064
84,485.808
85,486.387
86,487.099
87,487.734
88,488.754
89,490.334
90,491.941
91,493.272
92,495.000
93,497.346
94,500.522
95,505.688
96,524.204
97,620.245
98,800.759
99,869.732
