Percentage served,Time in ms
0,14.303
1,14.538
2,14.612
3,14.677
4,14.758
5,14.921
6,15.313
7,15.741
8,16.196
9,16.579
10,16.934
11,17.266
12,17.779
13,18.305
14,18.898
15,19.406
16,20.099
17,20.879
18,21.749
19,22.765
20,23.987
21,25.376
22,27.402
23,30.305
24,35.594
25,45.506
26,63.046
27,106.302
28,159.243
29,220.760
30,279.286
31,339.904
32,416.039
33,474.691
34,510.966
35,560.312
36,618.580
37,679.316
38,731.445
39,792.363
40,847.397
41,931.671
42,1005.322
43,1011.916
44,1012.646
45,1013.403
46,1014.046
47,1014.663
48,1015.255
49,1016.034
50,1016.962
51,1018.094
52,1019.559
53,1021.533
54,1024.465
55,1032.371
56,1070.370
57,1153.514
58,1299.177
59,1510.034
60,1974.686
61,3015.931
62,3016.979
63,3017.832
64,3018.652
65,3019.425
66,3020.593
67,3022.741
68,3025.173
69,3029.890
70,3050.009
71,3591.707
72,7021.947
73,7024.293
74,7025.964
75,7027.803
76,7029.960
77,7032.498
78,7038.554
79,7227.407
80,7617.268
81,7969.406
82,15038.414
83,15042.121
84,15046.143
85,15051.320
86,15175.766
87,15515.792
88,15871.750
89,31062.382
90,31072.908
91,31083.359
92,31099.821
93,31617.679
94,63131.913
95,63176.200
96,127167.166
97,127216.848
98,127249.127
99,127281.207
