Percentage served,Time in ms
0,14.333
1,14.544
2,14.600
3,14.655
4,14.731
5,14.841
6,15.266
7,15.648
8,16.180
9,16.557
10,17.018
11,17.463
12,18.122
13,18.755
14,19.397
15,20.385
16,21.577
17,22.942
18,24.942
19,28.696
20,36.996
21,49.653
22,60.766
23,71.701
24,80.279
25,87.460
26,97.067
27,108.893
28,128.193
29,145.030
30,166.942
31,184.466
32,210.025
33,252.042
34,293.198
35,334.220
36,359.172
37,393.028
38,422.804
39,442.029
40,465.580
41,483.051
42,509.455
43,526.294
44,559.471
45,642.684
46,827.285
47,906.541
48,1011.225
49,1011.981
50,1012.948
51,1013.806
52,1014.544
53,1015.673
54,1016.731
55,1018.553
56,1021.527
57,1029.452
58,1053.378
59,1075.940
60,1100.013
61,1144.462
62,1184.487
63,1282.679
64,1366.740
65,1452.390
66,1588.417
67,1657.422
68,1700.975
69,1744.674
70,1828.272
71,1887.915
72,1937.586
73,2259.771
74,2763.953
75,3016.351
76,3017.476
77,3018.488
78,3019.596
79,3021.177
80,3023.512
81,3031.819
82,3071.558
83,3245.291
84,4668.858
85,7022.211
86,7025.375
87,7027.674
88,7031.450
89,7045.958
90,7139.383
91,7505.431
92,15037.431
93,15042.792
94,15048.073
95,15117.077
96,31055.779
97,31075.290
98,31096.176
99,63147.569
