Percentage served,Time in ms
0,14.335
1,14.556
2,14.630
3,14.702
4,14.786
5,14.975
6,15.384
7,15.837
8,16.304
9,16.723
10,17.068
11,17.583
12,18.177
13,18.808
14,19.225
15,19.819
16,20.499
17,21.341
18,22.256
19,23.403
20,24.422
21,26.074
22,28.424
23,32.614
24,40.305
25,55.647
26,85.762
27,149.753
28,207.829
29,273.473
30,326.083
31,388.363
32,452.912
33,514.839
34,577.584
35,629.817
36,689.934
37,753.014
38,806.512
39,857.272
40,910.230
41,959.107
42,1011.261
43,1012.110
44,1012.971
45,1013.705
46,1014.318
47,1014.925
48,1015.616
49,1016.524
50,1017.760
51,1019.325
52,1021.403
53,1024.986
54,1035.914
55,1085.682
56,1144.247
57,1228.422
58,1308.535
59,1435.368
60,1649.675
61,2045.556
62,3015.960
63,3017.064
64,3017.896
65,3018.680
66,3019.552
67,3020.811
68,3022.879
69,3026.907
70,3054.011
71,3464.169
72,3994.643
73,7023.067
74,7024.785
75,7026.655
76,7028.722
77,7030.677
78,7034.331
79,7042.335
80,7425.380
81,15032.714
82,15039.305
83,15043.568
84,15047.965
85,15055.969
86,15320.509
87,15743.275
88,16057.927
89,31055.027
90,31072.355
91,31084.013
92,31105.309
93,31675.735
94,63128.482
95,63168.348
96,64035.896
97,127218.214
98,127246.862
99,127280.835
