Percentage served,Time in ms
0,14.425
1,14.597
2,14.678
3,14.751
4,15.196
5,15.939
6,16.492
7,16.822
8,17.183
9,18.142
10,18.780
11,19.136
12,19.997
13,20.561
14,21.146
15,21.845
16,22.433
17,22.991
18,23.518
19,24.053
20,24.607
21,25.118
22,25.973
23,26.690
24,27.532
25,28.180
26,28.827
27,29.493
28,30.180
29,31.069
30,32.071
31,32.761
32,33.456
33,34.471
34,35.383
35,36.048
36,36.979
37,37.877
38,39.002
39,39.764
40,40.643
41,41.664
42,42.385
43,43.245
44,44.072
45,45.273
46,46.247
47,47.103
48,48.635
49,49.941
50,52.078
51,54.242
52,56.681
53,60.058
54,65.928
55,84.905
56,124.456
57,151.040
58,189.728
59,216.810
60,267.833
61,304.068
62,339.628
63,355.833
64,380.877
65,398.162
66,425.192
67,442.949
68,451.773
69,458.787
70,464.254
71,471.602
72,477.477
73,488.149
74,511.259
75,618.162
76,668.143
77,1012.196
78,1013.307
79,1014.275
80,1015.493
81,1016.956
82,1018.582
83,1021.136
84,1023.269
85,1025.104
86,1027.243
87,1030.814
88,1034.401
89,1038.065
90,1042.904
91,1049.767
92,1058.144
93,3016.564
94,3018.664
95,3021.648
96,3032.425
97,3057.954
98,7032.193
99,7041.818
