Percentage served,Time in ms
0,14.241
1,14.497
2,14.568
3,14.612
4,14.663
5,14.724
6,14.827
7,15.136
8,15.547
9,15.961
10,16.254
11,16.528
12,16.842
13,17.147
14,17.476
15,17.996
16,18.392
17,18.851
18,19.255
19,19.799
20,20.238
21,20.876
22,21.584
23,22.431
24,23.225
25,23.882
26,24.901
27,26.179
28,27.670
29,29.482
30,31.907
31,35.187
32,39.274
33,44.992
34,55.478
35,86.621
36,117.434
37,143.494
38,192.201
39,219.005
40,241.090
41,260.645
42,282.857
43,299.705
44,313.589
45,336.499
46,411.793
47,505.597
48,594.598
49,683.364
50,795.265
51,855.496
52,895.923
53,964.073
54,1011.450
55,1012.217
56,1013.078
57,1013.758
58,1014.306
59,1014.806
60,1015.450
61,1016.060
62,1016.900
63,1017.965
64,1019.408
65,1021.389
66,1024.278
67,1031.056
68,1046.584
69,1131.663
70,1470.498
71,3015.509
72,3017.004
73,3017.807
74,3018.583
75,3019.522
76,3020.885
77,3022.676
78,3024.752
79,3028.333
80,3036.582
81,3577.569
82,7022.761
83,7025.574
84,7027.789
85,7030.210
86,7034.098
87,7042.207
88,7130.193
89,15035.152
90,15041.637
91,15047.417
92,15059.835
93,15306.825
94,15853.083
95,31075.918
96,31093.131
97,31386.884
98,63133.146
99,63201.637
