Percentage served,Time in ms
0,68.927
1,118.561
2,135.310
3,153.703
4,171.111
5,177.190
6,189.250
7,198.165
8,203.560
9,209.229
10,217.052
11,231.013
12,247.519
13,286.422
14,295.648
15,331.622
16,342.494
17,374.638
18,383.914
19,397.576
20,412.834
21,422.909
22,432.452
23,438.650
24,441.922
25,443.422
26,444.546
27,445.784
28,447.144
29,449.295
30,450.714
31,451.739
32,452.717
33,453.644
34,454.559
35,455.142
36,455.564
37,456.299
38,456.786
39,457.366
40,457.896
41,458.413
42,458.943
43,459.349
44,459.851
45,460.378
46,460.786
47,461.182
48,461.590
49,461.966
50,462.298
51,462.662
52,463.153
53,463.569
54,463.907
55,464.213
56,464.733
57,465.027
58,465.442
59,465.900
60,466.300
61,466.606
62,467.132
63,467.529
64,467.968
65,468.264
66,468.688
67,469.288
68,470.015
69,470.593
70,471.139
71,471.730
72,472.410
73,472.911
74,473.646
75,474.080
76,475.047
77,475.826
78,476.463
79,477.415
80,478.251
81,479.219
82,480.488
83,481.709
84,483.198
85,484.721
86,485.993
87,487.348
88,488.793
89,491.141
90,493.450
91,498.443
92,500.667
93,503.774
94,507.950
95,516.571
96,533.394
97,574.287
98,666.104
99,1171.458
