Percentage served,Time in ms
0,546.014
1,992.049
2,1203.787
3,1378.051
4,1606.139
5,2064.675
6,2103.237
7,2115.324
8,2121.998
9,2127.406
10,2131.447
11,2135.236
12,2139.230
13,2143.207
14,2146.545
15,2150.021
16,2153.917
17,2157.337
18,2161.255
19,2165.127
20,2170.003
21,2174.243
22,2179.888
23,2185.739
24,2193.149
25,2200.124
26,2208.135
27,2221.984
28,2378.162
29,2473.184
30,2492.299
31,2506.852
32,2525.068
33,2551.499
34,2621.289
35,2833.232
36,2862.251
37,2909.332
38,3101.530
39,3133.568
40,3153.301
41,3170.700
42,3190.036
43,3217.578
44,3259.335
45,3360.052
46,3426.412
47,3487.624
48,3539.603
49,3606.958
50,3769.283
51,3862.854
52,3904.220
53,3935.324
54,3972.785
55,4045.149
56,4171.496
57,4269.665
58,4368.521
59,4472.517
60,4583.595
61,4640.855
62,4699.530
63,4800.263
64,4908.432
65,4990.218
66,5072.735
67,5196.119
68,5280.042
69,5377.938
70,5479.920
71,5582.047
72,5686.543
73,5799.302
74,5917.571
75,6052.498
76,6181.133
77,6310.462
78,6453.875
79,6637.131
80,6819.986
81,7013.217
82,7179.826
83,7379.150
84,7565.984
85,7714.796
86,7931.768
87,8183.696
88,8402.477
89,8636.679
90,8925.983
91,9254.634
92,9539.141
93,9836.795
94,10248.346
95,10746.790
96,11368.391
97,12060.699
98,13061.485
99,14932.757
