Percentage served,Time in ms
0,681.710
1,1230.835
2,1522.151
3,2068.118
4,2096.276
5,2108.908
6,2116.611
7,2121.841
8,2125.316
9,2129.363
10,2132.456
11,2135.679
12,2138.786
13,2141.600
14,2145.048
15,2148.509
16,2151.842
17,2155.103
18,2158.442
19,2162.763
20,2166.707
21,2170.921
22,2175.745
23,2181.471
24,2187.614
25,2196.285
26,2214.045
27,2447.463
28,2478.204
29,2491.506
30,2504.665
31,2517.789
32,2538.145
33,2712.732
34,2825.058
35,2849.344
36,2873.577
37,2912.673
38,3114.656
39,3135.757
40,3151.334
41,3168.254
42,3192.095
43,3224.078
44,3335.083
45,3415.276
46,3463.436
47,3515.073
48,3573.489
49,3728.933
50,3841.582
51,3886.927
52,3917.435
53,3948.965
54,3990.147
55,4133.649
56,4244.919
57,4331.140
58,4437.351
59,4551.422
60,4612.004
61,4657.020
62,4737.388
63,4868.738
64,4954.295
65,5033.457
66,5152.891
67,5242.829
68,5335.998
69,5422.062
70,5526.250
71,5624.678
72,5710.344
73,5817.887
74,5941.952
75,6045.676
76,6181.492
77,6307.845
78,6434.010
79,6579.661
80,6726.235
81,6899.202
82,7072.687
83,7245.421
84,7462.499
85,7633.391
86,7830.595
87,8038.448
88,8260.797
89,8493.261
90,8721.324
91,9057.067
92,9431.378
93,9785.274
94,10196.872
95,10748.853
96,11347.884
97,12029.412
98,13000.304
99,14630.216
