Percentage served,Time in ms
0,1575.969
1,2116.257
2,2131.522
3,2141.720
4,2148.206
5,2153.833
6,2158.398
7,2163.024
8,2167.581
9,2172.818
10,2177.638
11,2183.087
12,2188.271
13,2192.523
14,2197.348
15,2202.242
16,2207.003
17,2211.593
18,2216.108
19,2220.496
20,2225.183
21,2230.329
22,2235.750
23,2240.906
24,2246.929
25,2255.470
26,2266.473
27,2423.839
28,2504.457
29,2530.030
30,2554.304
31,2580.346
32,2606.899
33,2743.016
34,2868.573
35,2918.942
36,2970.526
37,3125.451
38,3158.899
39,3180.153
40,3198.007
41,3216.257
42,3233.244
43,3252.685
44,3300.801
45,3392.253
46,3459.392
47,3511.905
48,3564.050
49,3616.615
50,3767.000
51,3879.623
52,3931.815
53,3967.439
54,4004.437
55,4046.666
56,4133.175
57,4261.406
58,4350.588
59,4441.922
60,4554.938
61,4642.482
62,4711.057
63,4800.214
64,4916.086
65,5000.725
66,5093.685
67,5213.373
68,5297.212
69,5367.787
70,5450.500
71,5520.011
72,5611.452
73,5714.924
74,5808.337
75,5922.263
76,6047.218
77,6185.885
78,6285.458
79,6420.353
80,6554.413
81,6717.216
82,6927.577
83,7121.172
84,7340.728
85,7552.576
86,7724.802
87,7925.938
88,8129.195
89,8382.166
90,8647.662
91,8927.370
92,9288.919
93,9650.856
94,10080.374
95,10570.659
96,11123.812
97,11981.071
98,13137.072
99,15052.812
