Percentage served,Time in ms
0,215.638
1,512.643
2,580.698
3,638.387
4,719.907
5,1039.300
6,1758.406
7,1808.049
8,1825.151
9,1837.817
10,1848.699
11,1860.722
12,1871.648
13,1880.956
14,1889.798
15,1897.657
16,1907.189
17,1918.274
18,1931.635
19,1944.866
20,1955.087
21,1967.556
22,1975.925
23,1982.226
24,1987.891
25,1996.721
26,2005.519
27,2012.259
28,2019.829
29,2025.969
30,2031.396
31,2038.449
32,2046.061
33,2054.861
34,2062.723
35,2074.011
36,2083.125
37,2092.369
38,2100.758
39,2109.345
40,2117.618
41,2124.415
42,2130.515
43,2136.250
44,2142.175
45,2147.495
46,2151.549
47,2155.834
48,2159.317
49,2164.642
50,2168.545
51,2173.817
52,2178.335
53,2181.987
54,2185.992
55,2190.484
56,2194.826
57,2199.304
58,2202.880
59,2207.244
60,2210.597
61,2213.351
62,2216.544
63,2219.323
64,2222.689
65,2226.204
66,2229.555
67,2233.566
68,2238.219
69,2242.008
70,2245.935
71,2250.755
72,2256.286
73,2261.886
74,2267.107
75,2271.951
76,2276.046
77,2282.113
78,2286.345
79,2291.028
80,2298.758
81,2307.889
82,2323.037
83,2542.683
84,2615.461
85,2733.659
86,2937.839
87,3087.394
88,3226.166
89,3351.764
90,3592.293
91,3857.794
92,4052.371
93,4250.288
94,4384.953
95,4517.640
96,4692.669
97,4925.429
98,5219.538
99,5638.439
