Percentage served,Time in ms
0,73.382
1,211.301
2,329.358
3,375.790
4,411.983
5,439.367
6,449.195
7,452.648
8,454.654
9,456.310
10,457.615
11,458.731
12,460.065
13,460.947
14,461.442
15,462.101
16,462.665
17,463.067
18,463.709
19,464.107
20,464.672
21,465.223
22,465.653
23,466.008
24,466.484
25,466.803
26,467.256
27,467.577
28,468.002
29,468.235
30,468.537
31,468.825
32,469.146
33,469.370
34,469.704
35,469.973
36,470.371
37,470.551
38,470.815
39,471.093
40,471.381
41,471.694
42,471.914
43,472.226
44,472.448
45,472.660
46,472.896
47,473.092
48,473.334
49,473.671
50,473.903
51,474.042
52,474.369
53,474.585
54,474.808
55,475.048
56,475.243
57,475.376
58,475.743
59,476.064
60,476.288
61,476.444
62,476.669
63,476.889
64,477.149
65,477.433
66,477.675
67,478.073
68,478.582
69,478.808
70,479.166
71,479.559
72,480.005
73,480.347
74,480.823
75,481.116
76,481.441
77,481.879
78,482.279
79,482.938
80,483.696
81,484.245
82,484.838
83,485.410
84,486.036
85,486.824
86,487.581
87,488.715
88,489.556
89,490.880
90,492.562
91,494.162
92,499.484
93,507.864
94,515.012
95,547.265
96,580.591
97,623.876
98,675.751
99,701.486
