Percentage served,Time in ms
0,965.586
1,1724.051
2,1850.277
3,1875.548
4,1890.041
5,1910.216
6,1928.590
7,1942.299
8,1951.796
9,1959.678
10,1965.169
11,1970.976
12,1974.988
13,1979.583
14,1983.478
15,1987.163
16,1992.011
17,1996.309
18,2001.345
19,2006.732
20,2013.363
21,2022.922
22,2031.711
23,2044.757
24,2059.519
25,2072.934
26,2083.686
27,2091.293
28,2097.316
29,2102.384
30,2107.309
31,2112.222
32,2117.788
33,2121.970
34,2126.876
35,2131.464
36,2136.294
37,2143.107
38,2147.428
39,2153.092
40,2157.927
41,2162.171
42,2167.609
43,2171.737
44,2176.046
45,2179.944
46,2183.743
47,2188.255
48,2191.670
49,2195.559
50,2199.683
51,2203.818
52,2206.940
53,2210.044
54,2213.097
55,2217.170
56,2221.437
57,2225.449
58,2230.172
59,2234.849
60,2239.934
61,2245.266
62,2250.752
63,2255.626
64,2260.643
65,2265.049
66,2269.006
67,2272.009
68,2274.977
69,2277.723
70,2280.576
71,2283.415
72,2285.852
73,2287.843
74,2290.226
75,2292.886
76,2295.672
77,2298.672
78,2301.895
79,2305.350
80,2309.985
81,2315.931
82,2323.862
83,2338.687
84,2539.787
85,2631.658
86,2678.809
87,2762.834
88,2897.384
89,3014.133
90,3111.827
91,3269.853
92,3390.502
93,3540.537
94,3725.445
95,4030.054
96,4199.650
97,4535.158
98,4831.063
99,5331.867
