Percentage served,Time in ms
0,26.772
1,154.829
2,270.132
3,339.793
4,361.830
5,385.469
6,419.147
7,435.550
8,446.071
9,449.307
10,451.991
11,453.211
12,454.258
13,455.533
14,456.614
15,457.793
16,458.687
17,459.502
18,460.142
19,460.585
20,461.100
21,461.596
22,462.192
23,462.841
24,463.663
25,464.091
26,464.404
27,464.954
28,465.323
29,465.724
30,466.146
31,466.485
32,466.988
33,467.544
34,467.836
35,468.299
36,468.592
37,469.027
38,469.282
39,469.647
40,470.007
41,470.250
42,470.587
43,470.900
44,471.218
45,471.545
46,471.943
47,472.191
48,472.556
49,472.896
50,473.263
51,473.540
52,473.799
53,474.243
54,474.600
55,474.955
56,475.280
57,475.805
58,476.201
59,476.458
60,476.679
61,477.117
62,477.586
63,478.093
64,478.449
65,478.951
66,479.297
67,479.736
68,480.088
69,480.413
70,480.916
71,481.442
72,482.041
73,482.695
74,483.095
75,483.496
76,483.944
77,484.453
78,485.073
79,485.695
80,486.363
81,487.028
82,487.619
83,488.358
84,489.202
85,489.852
86,490.866
87,491.950
88,493.258
89,494.793
90,496.412
91,498.873
92,503.351
93,510.006
94,521.821
95,535.543
96,547.508
97,581.398
98,693.569
99,832.345
