Percentage served,Time in ms
0,276.164
1,448.935
2,622.719
3,766.092
4,998.887
5,1607.611
6,1633.261
7,1659.788
8,1692.390
9,1708.689
10,1720.893
11,1736.051
12,1750.766
13,1764.158
14,1777.027
15,1789.026
16,1797.075
17,1806.173
18,1817.888
19,1827.113
20,1839.898
21,1852.217
22,1865.317
23,1883.731
24,1897.330
25,1905.860
26,1913.639
27,1923.143
28,1934.337
29,1946.636
30,1958.335
31,1971.536
32,1982.123
33,1991.833
34,2002.751
35,2012.536
36,2022.501
37,2031.587
38,2040.128
39,2048.915
40,2057.110
41,2065.219
42,2074.248
43,2084.047
44,2092.880
45,2102.572
46,2112.926
47,2122.425
48,2134.297
49,2147.487
50,2162.462
51,2174.154
52,2184.340
53,2192.852
54,2198.878
55,2204.916
56,2210.512
57,2214.692
58,2219.238
59,2224.198
60,2228.624
61,2233.324
62,2238.395
63,2243.471
64,2248.791
65,2253.867
66,2259.938
67,2265.716
68,2270.973
69,2276.974
70,2282.628
71,2287.571
72,2291.663
73,2295.587
74,2300.304
75,2304.928
76,2310.616
77,2316.677
78,2324.643
79,2335.634
80,2440.602
81,2607.589
82,2682.771
83,2773.473
84,2919.959
85,3035.693
86,3158.233
87,3284.326
88,3409.113
89,3610.416
90,3796.902
91,3975.888
92,4071.947
93,4165.073
94,4255.997
95,4546.157
96,4805.660
97,4920.177
98,5137.157
99,5588.273
