Percentage served,Time in ms
0,184.318
1,356.964
2,394.150
3,408.436
4,421.415
5,436.740
6,443.139
7,447.027
8,448.744
9,450.488
10,451.698
11,452.829
12,453.887
13,454.928
14,456.085
15,456.828
16,457.891
17,458.561
18,459.215
19,459.960
20,460.639
21,461.069
22,461.661
23,462.348
24,462.934
25,463.279
26,463.675
27,464.054
28,464.365
29,464.992
30,465.546
31,466.027
32,466.416
33,466.878
34,467.262
35,467.828
36,468.048
37,468.409
38,468.752
39,469.178
40,469.461
41,469.848
42,470.204
43,470.554
44,470.807
45,471.390
46,471.609
47,471.854
48,472.175
49,472.614
50,472.910
51,473.198
52,473.412
53,473.889
54,474.092
55,474.417
56,474.773
57,475.249
58,475.824
59,476.156
60,476.469
61,476.843
62,477.308
63,477.759
64,478.246
65,478.648
66,478.964
67,479.343
68,479.974
69,480.499
70,480.843
71,481.395
72,481.937
73,482.525
74,483.020
75,483.504
76,483.997
77,484.383
78,485.048
79,485.545
80,486.094
81,486.746
82,487.266
83,487.882
84,488.704
85,489.531
86,490.408
87,491.206
88,492.522
89,493.782
90,494.976
91,495.874
92,497.483
93,498.314
94,500.973
95,505.093
96,512.109
97,526.331
98,616.095
99,688.274
