Percentage served,Time in ms
0,79.026
1,275.061
2,328.906
3,371.632
4,402.813
5,420.928
6,431.074
7,438.574
8,443.984
9,447.965
10,449.638
11,451.604
12,452.994
13,454.405
14,455.973
15,456.824
16,457.818
17,458.842
18,460.202
19,460.897
20,461.467
21,462.108
22,462.843
23,463.704
24,464.273
25,464.760
26,465.327
27,465.757
28,466.272
29,466.643
30,466.933
31,467.464
32,467.792
33,468.068
34,468.474
35,468.940
36,469.251
37,469.493
38,469.921
39,470.164
40,470.409
41,470.627
42,471.053
43,471.303
44,471.538
45,471.813
46,472.278
47,472.538
48,472.895
49,473.193
50,473.554
51,474.032
52,474.361
53,474.836
54,475.006
55,475.275
56,475.582
57,475.881
58,476.210
59,476.603
60,477.004
61,477.403
62,477.659
63,477.860
64,478.306
65,478.708
66,479.164
67,479.553
68,479.882
69,480.250
70,480.777
71,481.190
72,481.792
73,482.039
74,482.492
75,482.926
76,483.460
77,483.736
78,484.314
79,484.699
80,485.452
81,486.115
82,486.789
83,487.755
84,488.981
85,489.683
86,490.641
87,491.796
88,493.351
89,494.530
90,496.395
91,499.224
92,500.996
93,506.384
94,510.257
95,516.624
96,528.525
97,577.824
98,695.186
99,723.260
