Percentage served,Time in ms
0,28.349
1,153.053
2,192.068
3,275.654
4,313.212
5,391.883
6,403.523
7,423.653
8,446.604
9,451.476
10,454.484
11,456.047
12,457.362
13,458.317
14,459.229
15,459.966
16,460.755
17,461.343
18,462.011
19,462.582
20,463.332
21,463.849
22,464.232
23,464.643
24,464.936
25,465.314
26,465.744
27,466.029
28,466.372
29,466.631
30,466.843
31,467.221
32,467.519
33,467.805
34,468.106
35,468.453
36,468.867
37,469.148
38,469.463
39,469.786
40,470.101
41,470.494
42,470.738
43,471.044
44,471.298
45,471.648
46,471.871
47,472.130
48,472.560
49,472.835
50,473.166
51,473.431
52,473.663
53,473.864
54,474.200
55,474.431
56,474.821
57,475.070
58,475.317
59,475.516
60,475.837
61,476.122
62,476.484
63,476.830
64,477.072
65,477.377
66,477.811
67,478.078
68,478.368
69,478.700
70,479.080
71,479.284
72,479.504
73,479.854
74,480.305
75,480.771
76,481.444
77,481.986
78,482.495
79,482.989
80,483.961
81,484.586
82,485.141
83,485.830
84,486.913
85,487.567
86,488.648
87,489.556
88,490.943
89,492.594
90,494.296
91,496.283
92,498.645
93,504.390
94,531.437
95,546.032
96,579.081
97,711.527
98,873.896
99,939.588
