Percentage served,Time in ms
0,42.457
1,119.685
2,143.567
3,183.177
4,225.801
5,317.755
6,375.381
7,405.368
8,425.057
9,433.619
10,437.170
11,440.479
12,443.221
13,445.798
14,447.770
15,449.831
16,451.599
17,452.771
18,454.607
19,455.475
20,456.496
21,457.366
22,458.167
23,458.685
24,459.439
25,460.135
26,460.887
27,461.626
28,462.324
29,462.979
30,463.504
31,463.995
32,464.489
33,465.125
34,465.697
35,466.165
36,466.709
37,467.314
38,467.890
39,468.408
40,469.084
41,469.783
42,470.351
43,470.882
44,471.253
45,471.604
46,472.089
47,472.549
48,472.927
49,473.421
50,473.923
51,474.315
52,474.595
53,474.917
54,475.412
55,475.869
56,476.189
57,476.506
58,476.858
59,477.238
60,477.873
61,478.314
62,478.550
63,479.230
64,479.772
65,480.254
66,480.948
67,481.539
68,482.128
69,482.531
70,483.200
71,483.765
72,484.195
73,484.875
74,485.718
75,486.686
76,487.169
77,488.150
78,488.753
79,489.428
80,490.297
81,491.042
82,491.813
83,492.533
84,493.137
85,494.459
86,495.329
87,496.409
88,497.822
89,499.443
90,501.354
91,505.663
92,510.563
93,528.150
94,542.119
95,554.050
96,603.154
97,724.738
98,854.726
99,882.205
