Percentage served,Time in ms
0,1344.241
1,2076.098
2,2105.784
3,2118.480
4,2124.459
5,2129.481
6,2132.899
7,2136.077
8,2139.080
9,2141.697
10,2144.615
11,2147.187
12,2149.630
13,2152.467
14,2154.940
15,2157.589
16,2160.701
17,2163.533
18,2166.981
19,2170.365
20,2174.269
21,2179.217
22,2186.240
23,2195.290
24,2398.815
25,2476.815
26,2494.701
27,2505.654
28,2516.950
29,2532.937
30,2565.011
31,2819.860
32,2851.691
33,2870.543
34,2894.225
35,2992.668
36,3116.212
37,3137.494
38,3150.527
39,3164.689
40,3184.453
41,3217.096
42,3268.320
43,3378.298
44,3435.952
45,3480.366
46,3523.025
47,3581.426
48,3700.455
49,3813.555
50,3878.349
51,3911.302
52,3936.697
53,3965.543
54,4016.462
55,4149.997
56,4259.635
57,4342.715
58,4459.956
59,4557.805
60,4618.436
61,4668.267
62,4746.806
63,4880.403
64,4959.521
65,5041.843
66,5132.935
67,5218.222
68,5286.263
69,5380.299
70,5446.155
71,5542.725
72,5627.004
73,5708.334
74,5809.799
75,5920.517
76,6027.833
77,6133.192
78,6246.898
79,6401.552
80,6534.291
81,6708.271
82,6902.519
83,7120.710
84,7316.748
85,7497.770
86,7659.594
87,7873.838
88,8065.194
89,8303.161
90,8530.592
91,8825.598
92,9184.436
93,9531.536
94,9958.890
95,10438.363
96,11012.400
97,11732.426
98,12637.757
99,14879.718
