Percentage served,Time in ms
0,66.711
1,324.357
2,366.693
3,393.231
4,402.645
5,416.450
6,426.754
7,433.691
8,437.041
9,441.186
10,445.056
11,447.116
12,448.314
13,449.744
14,450.882
15,451.529
16,452.537
17,453.283
18,453.986
19,454.733
20,455.061
21,455.671
22,455.962
23,456.503
24,457.055
25,457.363
26,457.884
27,458.384
28,458.935
29,459.366
30,459.677
31,460.117
32,460.527
33,460.921
34,461.227
35,461.674
36,462.135
37,462.379
38,462.714
39,462.973
40,463.181
41,463.409
42,463.727
43,464.134
44,464.462
45,464.725
46,465.048
47,465.318
48,465.646
49,465.852
50,466.121
51,466.421
52,466.665
53,467.103
54,467.369
55,467.702
56,468.029
57,468.384
58,468.661
59,468.897
60,469.151
61,469.377
62,469.858
63,470.261
64,470.646
65,471.046
66,471.458
67,471.976
68,472.421
69,472.896
70,473.500
71,474.165
72,474.602
73,475.176
74,475.740
75,476.361
76,476.977
77,477.469
78,477.997
79,479.031
80,479.814
81,480.397
82,481.096
83,482.325
84,483.343
85,484.337
86,485.285
87,486.599
88,488.243
89,490.084
90,492.351
91,494.024
92,496.813
93,503.322
94,510.225
95,517.291
96,530.326
97,548.083
98,598.871
99,643.783
